year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1998, 삼성, 24, 123, 468, 414, 74, 124, 23, 8, 10, 193, 30, 22, 7, 1, 1, 68, 5, 11, 0, 0.300, 0.365, 0.466, 0.832, 0.362, 127.5
2000, 삼성, 26, 13, 28, 20, 3, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0.100, 0.357, 0.100, 0.457, 0.273, 55.5
2001, 삼성, 27, 125, 403, 347, 54, 87, 15, 2, 6, 124, 42, 6, 1, 3, 0, 44, 9, 2, 1, 0.251, 0.348, 0.357, 0.705, 0.331, 87.6
2002, 삼성, 28, 130, 521, 466, 75, 134, 23, 3, 9, 190, 49, 11, 6, 1, 0, 76, 9, 7, 1, 0.288, 0.352, 0.408, 0.760, 0.338, 106.7
2003, 삼성, 29, 130, 520, 443, 61, 118, 19, 4, 9, 172, 57, 8, 4, 5, 0, 51, 17, 15, 4, 0.266, 0.349, 0.388, 0.737, 0.329, 93.9
2004, 삼성, 30, 132, 497, 438, 59, 129, 22, 1, 3, 162, 49, 9, 5, 2, 4, 45, 13, 7, 1, 0.295, 0.367, 0.370, 0.737, 0.341, 101.0
2005, 삼성, 31, 125, 429, 367, 61, 88, 15, 3, 6, 127, 38, 9, 1, 3, 2, 68, 8, 13, 3, 0.240, 0.322, 0.346, 0.668, 0.302, 79.0
2006, 두산, 32, 118, 456, 393, 36, 98, 12, 2, 2, 120, 34, 8, 6, 2, 2, 54, 9, 9, 4, 0.249, 0.330, 0.305, 0.635, 0.298, 84.1
2007, 두산, 33, 25, 48, 43, 1, 7, 1, 1, 1, 13, 6, 0, 1, 1, 0, 4, 1, 0, 0, 0.163, 0.250, 0.302, 0.552, 0.262, 51.4
2008, KIA, 34, 45, 52, 40, 8, 4, 1, 0, 0, 5, 5, 0, 1, 1, 0, 6, 0, 2, 1, 0.100, 0.260, 0.125, 0.385, 0.207, 12.4
2009, 한화, 35, 128, 585, 506, 88, 153, 30, 2, 10, 217, 48, 27, 3, 1, 0, 58, 6, 4, 5, 0.302, 0.384, 0.429, 0.813, 0.369, 112.5
2010, 한화, 36, 98, 363, 309, 45, 78, 8, 1, 4, 100, 22, 14, 6, 1, 0, 33, 10, 6, 3, 0.252, 0.343, 0.324, 0.666, 0.313, 80.8
2011, 한화, 37, 133, 599, 518, 83, 149, 13, 3, 13, 207, 51, 17, 15, 2, 1, 71, 9, 12, 4, 0.288, 0.364, 0.400, 0.763, 0.351, 110.8
2012, 한화, 38, 76, 290, 257, 35, 65, 16, 1, 2, 89, 22, 1, 2, 0, 0, 21, 5, 5, 2, 0.253, 0.319, 0.346, 0.666, 0.311, 91.2
2013, 한화, 39, 26, 60, 52, 4, 11, 1, 1, 0, 14, 3, 0, 0, 0, 0, 7, 1, 0, 1, 0.212, 0.300, 0.269, 0.569, 0.279, 57.4
