year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, 두산, 22, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
2001, 두산, 23, 64, 97, 89, 16, 21, 7, 1, 2, 36, 11, 2, 0, 1, 0, 28, 1, 1, 0, 0.236, 0.292, 0.404, 0.696, 0.311, 73.4
2002, 두산, 24, 93, 182, 160, 30, 40, 6, 1, 5, 63, 25, 6, 1, 2, 1, 43, 4, 3, 1, 0.250, 0.324, 0.394, 0.718, 0.315, 90.2
2003, 두산, 25, 6, 15, 13, 3, 3, 0, 0, 1, 6, 3, 1, 0, 0, 0, 2, 1, 0, 0, 0.231, 0.333, 0.462, 0.795, 0.354, 111.8
2004, 두산, 26, 40, 85, 72, 14, 17, 2, 1, 1, 24, 5, 2, 1, 1, 0, 20, 0, 2, 0, 0.236, 0.337, 0.333, 0.671, 0.313, 81.5
2005, 두산, 27, 48, 124, 102, 12, 24, 3, 1, 1, 32, 10, 2, 1, 2, 1, 30, 2, 2, 0, 0.235, 0.361, 0.314, 0.674, 0.320, 90.6
2006, 삼성, 28, 87, 145, 128, 16, 30, 6, 1, 4, 50, 16, 4, 3, 1, 0, 33, 2, 1, 2, 0.234, 0.306, 0.391, 0.696, 0.321, 100.7
2007, 삼성, 29, 83, 170, 142, 20, 40, 9, 1, 1, 54, 13, 4, 2, 5, 0, 25, 4, 5, 2, 0.282, 0.370, 0.380, 0.750, 0.345, 110.6
2008, 삼성, 30, 81, 160, 134, 27, 37, 8, 0, 3, 54, 14, 3, 4, 3, 0, 28, 3, 3, 1, 0.276, 0.376, 0.403, 0.779, 0.362, 118.3
2009, 삼성, 31, 126, 529, 449, 89, 139, 24, 2, 20, 227, 78, 20, 3, 4, 2, 61, 15, 6, 1, 0.310, 0.405, 0.506, 0.911, 0.401, 134.1
2010, 삼성, 32, 89, 279, 232, 38, 55, 12, 0, 4, 79, 26, 8, 0, 2, 0, 44, 8, 4, 1, 0.237, 0.353, 0.341, 0.693, 0.327, 90.0
2011, 삼성, 33, 52, 168, 146, 14, 39, 7, 1, 1, 51, 18, 3, 1, 2, 0, 24, 3, 0, 2, 0.267, 0.347, 0.349, 0.697, 0.331, 97.2
2012, 삼성, 34, 102, 274, 235, 30, 60, 10, 1, 6, 90, 38, 5, 3, 2, 1, 49, 5, 3, 6, 0.255, 0.332, 0.383, 0.715, 0.331, 104.5
2013, 삼성, 35, 32, 99, 82, 11, 17, 5, 0, 0, 22, 5, 3, 0, 1, 0, 19, 5, 1, 1, 0.207, 0.327, 0.268, 0.595, 0.295, 67.5
2015, 삼성, 37, 5, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0.000, 0.250, 0.000, 0.250, 0.187, -11.2
