year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2011, 넥센, 22, 54, 111, 105, 12, 26, 5, 4, 1, 42, 9, 7, 6, 0, 0, 26, 0, 0, 1, 0.248, 0.279, 0.400, 0.679, 0.309, 82.2
2014, 넥센, 25, 8, 14, 12, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0.000, 0.143, 0.000, 0.143, 0.106, -65.1
2015, 넥센, 26, 119, 443, 407, 81, 126, 25, 4, 10, 189, 51, 22, 14, 6, 1, 81, 10, 4, 1, 0.310, 0.358, 0.464, 0.822, 0.364, 108.7
2016, 넥센, 27, 133, 566, 527, 92, 176, 22, 9, 8, 240, 72, 28, 14, 5, 1, 103, 10, 1, 5, 0.334, 0.370, 0.455, 0.825, 0.373, 105.4
2017, 넥센, 28, 123, 453, 426, 70, 133, 24, 8, 8, 197, 54, 16, 4, 3, 2, 92, 11, 0, 2, 0.312, 0.349, 0.462, 0.811, 0.357, 104.3
2018, 넥센, 29, 102, 351, 330, 47, 92, 22, 0, 6, 132, 54, 17, 4, 1, 1, 96, 2, 1, 4, 0.279, 0.309, 0.400, 0.709, 0.309, 74.1
2019, SK, 30, 137, 513, 492, 76, 159, 25, 7, 3, 207, 56, 31, 10, 1, 1, 89, 5, 0, 2, 0.323, 0.347, 0.421, 0.768, 0.353, 115.7
2020, SK, 31, 92, 288, 272, 24, 77, 9, 3, 3, 101, 26, 1, 3, 1, 0, 55, 3, 0, 1, 0.283, 0.319, 0.371, 0.691, 0.319, 83.6
2021, SSG, 32, 88, 199, 180, 25, 48, 5, 0, 2, 59, 18, 2, 3, 0, 0, 30, 6, 1, 2, 0.267, 0.323, 0.328, 0.651, 0.311, 80.0
2022, KIA, 33, 8, 13, 11, 1, 3, 1, 0, 0, 4, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0.273, 0.385, 0.364, 0.748, 0.357, 129.5
