year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, 현대, 23, 25, 47, 41, 8, 8, 2, 1, 0, 12, 2, 0, 0, 0, 0, 20, 0, 0, 1, 0.195, 0.277, 0.293, 0.569, 0.261, 53.1
2003, 현대, 24, 15, 22, 19, 1, 7, 1, 0, 0, 8, 2, 0, 1, 0, 0, 6, 0, 0, 0, 0.368, 0.455, 0.421, 0.876, 0.411, 150.5
2004, 현대, 25, 18, 52, 48, 7, 6, 1, 0, 0, 7, 3, 1, 0, 0, 0, 14, 2, 0, 0, 0.125, 0.192, 0.146, 0.338, 0.172, -13.5
2008, 히어로즈, 29, 16, 20, 18, 3, 1, 1, 0, 0, 2, 2, 0, 0, 0, 0, 6, 0, 0, 0, 0.056, 0.150, 0.111, 0.261, 0.139, -29.8
2009, 히어로즈, 30, 78, 151, 125, 15, 33, 5, 0, 3, 47, 10, 9, 0, 2, 0, 36, 3, 6, 1, 0.264, 0.359, 0.376, 0.735, 0.328, 85.2
2010, 넥센, 31, 128, 536, 447, 64, 115, 20, 3, 9, 168, 44, 28, 6, 9, 0, 85, 11, 16, 3, 0.257, 0.356, 0.376, 0.732, 0.333, 94.2
2011, 넥센, 32, 126, 535, 466, 66, 115, 22, 0, 6, 155, 31, 23, 9, 2, 1, 100, 7, 17, 2, 0.247, 0.319, 0.333, 0.651, 0.301, 76.4
2012, 넥센, 33, 69, 230, 197, 20, 45, 6, 2, 5, 70, 25, 5, 4, 3, 1, 49, 2, 6, 2, 0.228, 0.313, 0.355, 0.668, 0.307, 88.0
2013, 넥센, 34, 33, 55, 48, 5, 14, 1, 1, 0, 17, 11, 1, 1, 1, 0, 8, 1, 0, 1, 0.292, 0.364, 0.354, 0.718, 0.344, 101.2
2014, KIA, 35, 87, 210, 167, 34, 42, 10, 0, 3, 61, 15, 7, 2, 1, 0, 46, 2, 6, 0, 0.252, 0.387, 0.365, 0.753, 0.348, 93.6
2015, KIA, 36, 90, 315, 269, 28, 70, 16, 1, 6, 106, 34, 8, 3, 1, 0, 75, 3, 21, 3, 0.260, 0.313, 0.394, 0.707, 0.297, 63.8
2016, KIA, 37, 19, 47, 41, 3, 8, 1, 0, 0, 9, 4, 1, 0, 0, 0, 12, 1, 1, 0, 0.195, 0.283, 0.220, 0.502, 0.247, 26.2
