year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, 해태/KIA, 21, 16, 20, 20, 2, 3, 0, 0, 1, 6, 4, 0, 0, 0, 0, 6, 0, 0, 0, 0.150, 0.150, 0.300, 0.450, 0.192, -3.2
2002, KIA,LG, 22, 31, 42, 32, 7, 10, 0, 1, 1, 15, 6, 0, 0, 3, 1, 18, 0, 0, 0, 0.313, 0.476, 0.469, 0.945, 0.424, 166.7
, KIA, 22, 26, 34, 25, 7, 8, 0, 1, 1, 13, 4, 0, 0, 3, 1, 13, 0, 0, 0, 0.320, 0.500, 0.520, 1.020, 0.449, 184.2
, LG, 22, 5, 8, 7, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0.286, 0.375, 0.286, 0.661, 0.318, 92.3
2003, LG, 23, 55, 209, 182, 24, 49, 9, 1, 7, 81, 28, 7, 1, 7, 0, 50, 1, 1, 3, 0.269, 0.346, 0.445, 0.791, 0.353, 111.3
2004, LG, 24, 100, 316, 277, 37, 67, 10, 2, 9, 108, 35, 7, 5, 7, 2, 77, 11, 3, 1, 0.242, 0.326, 0.390, 0.716, 0.326, 90.7
2007, LG, 27, 121, 434, 378, 44, 89, 27, 0, 7, 137, 41, 6, 0, 10, 0, 85, 12, 10, 3, 0.235, 0.311, 0.362, 0.674, 0.310, 85.6
2008, LG, 28, 75, 243, 214, 28, 52, 9, 2, 8, 89, 18, 2, 3, 3, 0, 55, 8, 5, 2, 0.243, 0.311, 0.416, 0.727, 0.328, 95.6
2009, LG,KIA, 29, 121, 496, 448, 77, 141, 30, 2, 36, 283, 127, 7, 5, 6, 1, 103, 11, 0, 1, 0.315, 0.379, 0.632, 1.011, 0.431, 155.4
, LG, 29, 2, 8, 7, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0.143, 0.250, 0.143, 0.393, 0.208, 3.7
, KIA, 29, 119, 488, 441, 76, 140, 30, 2, 36, 282, 126, 6, 5, 6, 1, 102, 11, 0, 1, 0.317, 0.381, 0.639, 1.021, 0.434, 157.9
2010, KIA, 30, 79, 330, 288, 44, 62, 5, 1, 21, 132, 53, 3, 1, 8, 1, 85, 10, 0, 1, 0.215, 0.312, 0.458, 0.771, 0.342, 100.2
2011, KIA, 31, 101, 405, 357, 38, 91, 15, 0, 14, 148, 64, 8, 0, 9, 1, 83, 12, 0, 2, 0.255, 0.338, 0.415, 0.753, 0.350, 110.2
2012, KIA, 32, 32, 126, 116, 17, 30, 9, 0, 4, 51, 17, 1, 2, 3, 0, 26, 3, 1, 0, 0.259, 0.312, 0.440, 0.752, 0.346, 115.9
2013, KIA,SK, 33, 113, 360, 322, 39, 76, 17, 0, 7, 114, 37, 8, 1, 4, 1, 84, 17, 1, 4, 0.236, 0.304, 0.354, 0.658, 0.308, 76.7
, SK, 33, 89, 274, 250, 28, 60, 13, 0, 5, 88, 27, 5, 0, 3, 0, 63, 13, 1, 4, 0.240, 0.289, 0.352, 0.641, 0.299, 70.7
, KIA, 33, 24, 86, 72, 11, 16, 4, 0, 2, 26, 10, 3, 1, 1, 0, 21, 4, 0, 0, 0.222, 0.349, 0.361, 0.710, 0.341, 99.4
2014, SK, 34, 42, 87, 80, 8, 21, 3, 1, 5, 41, 20, 1, 1, 1, 0, 22, 2, 0, 1, 0.263, 0.310, 0.513, 0.823, 0.351, 96.5
2015, kt, 35, 134, 539, 475, 71, 133, 20, 0, 27, 234, 88, 4, 5, 8, 4, 115, 21, 0, 6, 0.280, 0.354, 0.493, 0.847, 0.369, 113.2
2016, kt, 36, 62, 246, 222, 29, 50, 5, 0, 11, 88, 32, 0, 1, 2, 0, 48, 10, 0, 2, 0.225, 0.293, 0.396, 0.689, 0.308, 65.7
