year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1982, 삼성, 27, 64, 227, 193, 33, 51, 13, 1, 5, 81, 28, 4, 3, 2, 0, 26, 1, 6, 3, 0.264, 0.347, 0.420, 0.767, 0.342, 107.4
1983, 삼성, 28, 71, 244, 223, 30, 63, 11, 1, 4, 88, 16, 4, 2, 3, 0, 25, 9, 0, 1, 0.283, 0.337, 0.395, 0.732, 0.340, 116.2
1984, 삼성, 29, 58, 138, 125, 11, 26, 8, 0, 0, 34, 10, 1, 3, 3, 1, 20, 7, 0, 0, 0.208, 0.277, 0.272, 0.549, 0.261, 58.2
1985, 삼성,빙그레, 30, 13, 17, 13, 0, 4, 2, 0, 0, 6, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0.308, 0.471, 0.462, 0.932, 0.440, 180.2
, 삼성, 30, 13, 17, 13, 0, 4, 2, 0, 0, 6, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0.308, 0.471, 0.462, 0.932, 0.440, 180.2
1986, 빙그레, 31, 75, 247, 216, 15, 43, 7, 2, 4, 66, 19, 1, 1, 3, 0, 22, 8, 5, 1, 0.199, 0.281, 0.306, 0.587, 0.278, 74.3
1987, 빙그레, 32, 34, 61, 55, 5, 11, 1, 0, 2, 18, 7, 0, 1, 1, 0, 11, 3, 1, 0, 0.200, 0.267, 0.327, 0.594, 0.280, 67.5
1988, 빙그레, 33, 82, 218, 199, 20, 59, 10, 0, 5, 84, 30, 2, 3, 1, 0, 16, 5, 0, 1, 0.296, 0.353, 0.422, 0.775, 0.361, 122.5
1989, 태평양, 34, 93, 200, 166, 20, 46, 7, 0, 3, 62, 21, 3, 3, 3, 0, 30, 3, 1, 2, 0.277, 0.387, 0.373, 0.760, 0.368, 127.5
1990, 태평양, 35, 85, 217, 192, 19, 51, 9, 1, 3, 71, 25, 2, 3, 0, 0, 39, 4, 3, 1, 0.266, 0.336, 0.370, 0.706, 0.333, 100.9
