year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2011, 삼성, 23, 11, 12, 12, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0.083, 0.083, 0.083, 0.167, 0.080, -72.8
2012, 삼성, 24, 10, 18, 18, 1, 2, 1, 0, 0, 3, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0.111, 0.111, 0.167, 0.278, 0.128, -37.9
2013, 삼성, 25, 7, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -134.4
2014, 삼성, 26, 76, 143, 123, 17, 32, 5, 3, 3, 52, 20, 2, 2, 6, 0, 20, 1, 1, 0, 0.260, 0.359, 0.423, 0.782, 0.354, 96.7
2017, 삼성, 29, 123, 404, 356, 51, 94, 13, 2, 9, 138, 47, 11, 2, 8, 0, 45, 11, 8, 3, 0.264, 0.331, 0.388, 0.718, 0.318, 80.5
2018, 삼성, 30, 141, 586, 513, 77, 154, 26, 2, 11, 217, 71, 22, 9, 10, 1, 70, 13, 5, 4, 0.300, 0.375, 0.423, 0.798, 0.355, 103.9
2019, 삼성, 31, 114, 467, 411, 57, 122, 20, 1, 5, 159, 46, 10, 8, 8, 1, 41, 18, 5, 6, 0.297, 0.362, 0.387, 0.748, 0.346, 107.6
2020, 삼성, 32, 97, 283, 254, 26, 63, 8, 0, 3, 80, 34, 7, 5, 3, 0, 31, 7, 1, 3, 0.248, 0.312, 0.315, 0.627, 0.295, 67.7
2021, 삼성, 33, 118, 364, 317, 38, 89, 8, 2, 4, 113, 27, 5, 4, 5, 0, 46, 9, 3, 5, 0.281, 0.355, 0.356, 0.711, 0.338, 98.1
2022, 삼성, 34, 27, 99, 91, 10, 19, 2, 0, 0, 21, 7, 2, 1, 0, 0, 10, 4, 1, 1, 0.209, 0.255, 0.231, 0.486, 0.232, 42.9
