year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 쌍방울, 24, 126, 517, 442, 72, 103, 18, 3, 11, 160, 63, 22, 9, 1, 1, 90, 8, 1, 2, 0.233, 0.339, 0.362, 0.701, 0.331, 101.5
1992, 쌍방울, 25, 121, 484, 415, 48, 98, 14, 2, 8, 140, 48, 12, 8, 1, 0, 76, 12, 10, 2, 0.236, 0.326, 0.337, 0.663, 0.306, 79.7
1993, 쌍방울, 26, 119, 414, 357, 42, 73, 13, 2, 4, 102, 25, 17, 7, 2, 0, 81, 7, 10, 1, 0.204, 0.295, 0.286, 0.580, 0.276, 73.8
1995, 쌍방울, 28, 112, 354, 307, 32, 61, 8, 2, 6, 91, 29, 18, 7, 0, 0, 56, 2, 18, 2, 0.199, 0.262, 0.296, 0.558, 0.248, 54.9
1996, 쌍방울, 29, 126, 447, 389, 42, 93, 14, 6, 1, 122, 39, 22, 11, 4, 0, 72, 9, 18, 3, 0.239, 0.303, 0.314, 0.617, 0.280, 73.7
1997, 쌍방울, 30, 126, 405, 337, 38, 67, 8, 3, 5, 96, 33, 12, 9, 1, 0, 84, 9, 19, 3, 0.199, 0.293, 0.285, 0.578, 0.262, 57.2
1998, 쌍방울, 31, 114, 360, 306, 42, 69, 9, 3, 3, 93, 28, 11, 7, 1, 1, 71, 4, 15, 3, 0.225, 0.304, 0.304, 0.608, 0.270, 63.6
1999, 쌍방울, 32, 117, 351, 314, 37, 80, 6, 3, 8, 116, 36, 11, 3, 1, 0, 72, 2, 8, 0, 0.255, 0.318, 0.369, 0.687, 0.304, 72.4
2000, SK,해태, 33, 92, 236, 199, 32, 47, 13, 0, 3, 69, 17, 4, 1, 0, 0, 57, 6, 8, 2, 0.236, 0.325, 0.347, 0.671, 0.300, 72.8
, 해태, 33, 79, 216, 184, 32, 46, 13, 0, 3, 68, 17, 4, 1, 0, 0, 51, 5, 6, 2, 0.250, 0.333, 0.370, 0.703, 0.313, 81.7
, SK, 33, 13, 20, 15, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 1, 2, 0, 0.067, 0.222, 0.067, 0.289, 0.155, -24.3
2001, 두산, 34, 26, 65, 58, 7, 12, 2, 1, 0, 16, 4, 0, 0, 0, 0, 11, 1, 0, 1, 0.207, 0.277, 0.276, 0.553, 0.263, 41.0
2002, 두산, 35, 91, 179, 164, 13, 43, 4, 1, 4, 61, 16, 2, 3, 0, 1, 31, 4, 5, 0, 0.262, 0.305, 0.372, 0.677, 0.294, 74.9
