year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2008, SK, 23, 91, 147, 130, 30, 29, 5, 0, 1, 37, 20, 10, 7, 0, 0, 38, 1, 4, 1, 0.223, 0.287, 0.285, 0.571, 0.268, 53.9
2009, SK, 24, 92, 130, 114, 31, 27, 5, 2, 4, 48, 17, 5, 7, 1, 0, 29, 4, 6, 0, 0.237, 0.298, 0.421, 0.719, 0.305, 68.8
2010, SK, 25, 65, 67, 60, 14, 11, 2, 0, 1, 16, 2, 5, 3, 0, 0, 15, 4, 2, 0, 0.183, 0.246, 0.267, 0.513, 0.236, 28.7
2012, SK, 27, 15, 36, 32, 7, 8, 2, 0, 1, 13, 2, 2, 1, 0, 0, 7, 0, 2, 0, 0.250, 0.294, 0.406, 0.700, 0.308, 88.7
2013, NC, 28, 108, 436, 395, 57, 109, 24, 3, 12, 175, 51, 16, 3, 1, 0, 68, 11, 2, 1, 0.276, 0.339, 0.443, 0.782, 0.359, 111.8
2014, NC, 29, 122, 468, 419, 62, 110, 15, 0, 16, 173, 72, 14, 3, 0, 0, 82, 13, 8, 4, 0.263, 0.320, 0.413, 0.733, 0.322, 76.4
2015, NC, 30, 103, 239, 214, 23, 62, 14, 0, 6, 94, 35, 5, 0, 0, 0, 52, 5, 4, 3, 0.290, 0.340, 0.439, 0.780, 0.342, 96.3
2016, NC, 31, 63, 147, 133, 16, 44, 8, 0, 5, 67, 20, 3, 2, 1, 0, 24, 7, 1, 3, 0.331, 0.370, 0.504, 0.874, 0.384, 118.4
2017, NC, 32, 136, 527, 474, 64, 148, 25, 3, 17, 230, 90, 9, 6, 2, 2, 81, 6, 3, 9, 0.312, 0.361, 0.485, 0.846, 0.367, 113.7
2018, NC, 33, 81, 314, 287, 38, 80, 10, 1, 17, 143, 62, 2, 3, 2, 0, 51, 10, 0, 4, 0.279, 0.328, 0.498, 0.826, 0.351, 101.4
2019, NC, 34, 101, 386, 341, 49, 104, 21, 2, 10, 159, 55, 3, 2, 3, 1, 62, 8, 0, 11, 0.305, 0.358, 0.466, 0.824, 0.371, 123.1
2020, NC, 35, 62, 149, 136, 10, 41, 10, 2, 2, 61, 13, 0, 0, 1, 1, 22, 5, 2, 2, 0.301, 0.340, 0.449, 0.789, 0.347, 100.2
2021, NC, 36, 3, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0.000, 0.167, 0.000, 0.167, 0.123, -46.3
