year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, LG, 23, 38, 38, 34, 4, 8, 0, 0, 0, 8, 3, 0, 0, 0, 0, 11, 0, 0, 0, 0.235, 0.316, 0.235, 0.551, 0.275, 55.3
2005, LG, 24, 56, 162, 136, 20, 37, 2, 0, 4, 51, 16, 0, 1, 2, 0, 36, 2, 5, 0, 0.272, 0.369, 0.375, 0.744, 0.341, 105.7
2006, LG, 25, 74, 174, 152, 19, 37, 2, 0, 4, 51, 15, 0, 0, 0, 0, 29, 1, 7, 1, 0.243, 0.305, 0.336, 0.641, 0.292, 79.6
2009, KIA, 28, 104, 89, 68, 16, 12, 5, 0, 0, 17, 3, 2, 0, 0, 0, 14, 3, 7, 1, 0.176, 0.305, 0.250, 0.555, 0.252, 32.7
2010, KIA, 29, 76, 173, 147, 26, 40, 6, 0, 3, 55, 24, 3, 3, 3, 0, 27, 1, 4, 1, 0.272, 0.361, 0.374, 0.735, 0.338, 97.5
2011, KIA, 30, 85, 184, 152, 23, 34, 9, 0, 3, 52, 16, 4, 2, 4, 0, 31, 7, 8, 0, 0.224, 0.330, 0.342, 0.672, 0.309, 82.2
2012, KIA, 31, 99, 274, 225, 28, 57, 16, 0, 2, 79, 25, 1, 0, 5, 0, 34, 1, 13, 4, 0.253, 0.341, 0.351, 0.692, 0.315, 93.7
2013, KIA, 32, 91, 214, 174, 35, 50, 11, 0, 4, 73, 21, 2, 0, 2, 0, 28, 4, 11, 2, 0.287, 0.379, 0.420, 0.799, 0.356, 109.9
2014, KIA, 33, 90, 202, 171, 21, 49, 9, 0, 3, 67, 21, 2, 5, 2, 0, 25, 5, 5, 2, 0.287, 0.371, 0.392, 0.762, 0.345, 92.0
2015, KIA, 34, 51, 93, 69, 8, 14, 3, 0, 0, 17, 3, 1, 1, 0, 0, 19, 3, 3, 0, 0.203, 0.389, 0.246, 0.635, 0.317, 77.4
