year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, SK, 19, 8, 4, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.1
2005, SK, 23, 31, 49, 46, 3, 6, 1, 0, 0, 7, 1, 3, 1, 0, 0, 17, 0, 0, 0, 0.130, 0.184, 0.152, 0.336, 0.167, -16.5
2006, SK, 24, 65, 201, 172, 24, 43, 10, 2, 3, 66, 23, 6, 5, 3, 0, 40, 2, 10, 2, 0.250, 0.314, 0.384, 0.698, 0.309, 92.3
2007, SK, 25, 123, 368, 312, 53, 84, 16, 1, 10, 132, 37, 21, 7, 6, 2, 50, 5, 8, 0, 0.269, 0.367, 0.423, 0.790, 0.360, 121.8
2008, SK, 26, 94, 363, 314, 46, 86, 18, 1, 1, 109, 34, 21, 9, 5, 0, 50, 3, 7, 1, 0.274, 0.357, 0.347, 0.704, 0.333, 98.5
2009, SK, 27, 133, 614, 515, 84, 152, 31, 4, 15, 236, 81, 33, 11, 6, 1, 107, 7, 20, 5, 0.295, 0.381, 0.458, 0.839, 0.365, 110.4
2010, SK, 28, 97, 384, 321, 57, 82, 19, 1, 6, 121, 42, 9, 6, 7, 1, 63, 2, 13, 5, 0.255, 0.342, 0.377, 0.719, 0.322, 86.9
2011, SK, 29, 93, 352, 301, 37, 77, 17, 4, 4, 114, 39, 13, 5, 5, 1, 54, 7, 11, 2, 0.256, 0.337, 0.379, 0.716, 0.326, 93.6
2012, SK, 30, 100, 322, 269, 37, 58, 12, 0, 4, 82, 23, 6, 9, 1, 0, 60, 8, 16, 2, 0.216, 0.304, 0.305, 0.609, 0.280, 69.0
2013, SK, 31, 103, 305, 262, 37, 69, 9, 2, 8, 106, 36, 14, 1, 3, 2, 50, 4, 12, 3, 0.263, 0.331, 0.405, 0.736, 0.326, 89.4
2014, SK, 32, 38, 77, 63, 9, 12, 2, 1, 1, 19, 6, 2, 1, 2, 1, 13, 1, 3, 0, 0.190, 0.311, 0.302, 0.612, 0.276, 48.5
2015, SK, 33, 108, 292, 250, 34, 62, 12, 2, 7, 99, 37, 4, 5, 3, 0, 53, 4, 6, 1, 0.248, 0.339, 0.396, 0.735, 0.329, 89.2
2016, SK, 34, 94, 288, 255, 37, 76, 14, 1, 6, 110, 35, 3, 6, 0, 0, 37, 9, 4, 2, 0.298, 0.363, 0.431, 0.794, 0.357, 98.9
