year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, LG, 19, 45, 81, 73, 10, 14, 0, 1, 1, 19, 7, 0, 1, 2, 0, 9, 2, 0, 0, 0.192, 0.272, 0.260, 0.532, 0.257, 44.8
1993, LG, 20, 91, 368, 316, 42, 83, 15, 4, 6, 124, 33, 8, 4, 5, 0, 53, 0, 18, 1, 0.263, 0.331, 0.392, 0.724, 0.325, 110.2
1994, LG, 21, 105, 400, 335, 59, 87, 14, 6, 6, 131, 56, 21, 10, 13, 2, 44, 8, 4, 3, 0.260, 0.366, 0.391, 0.757, 0.350, 122.8
1995, LG, 22, 61, 244, 207, 26, 52, 5, 3, 0, 63, 22, 12, 7, 8, 0, 24, 5, 2, 7, 0.251, 0.331, 0.304, 0.635, 0.298, 89.1
1997, LG, 24, 65, 199, 160, 16, 35, 4, 2, 0, 43, 11, 2, 2, 5, 0, 26, 4, 9, 1, 0.219, 0.337, 0.269, 0.606, 0.283, 71.0
1998, LG,현대, 25, 103, 272, 218, 38, 50, 8, 2, 2, 68, 18, 8, 2, 5, 0, 41, 3, 7, 2, 0.229, 0.359, 0.312, 0.670, 0.311, 91.8
, LG, 25, 74, 204, 158, 27, 34, 6, 2, 1, 47, 15, 6, 1, 3, 0, 31, 3, 6, 2, 0.215, 0.364, 0.297, 0.661, 0.308, 90.1
, 현대, 25, 29, 68, 60, 11, 16, 2, 0, 1, 21, 3, 2, 1, 2, 0, 10, 0, 1, 0, 0.267, 0.343, 0.350, 0.693, 0.318, 96.9
1999, 현대, 26, 119, 473, 396, 79, 119, 29, 4, 10, 186, 55, 13, 3, 31, 1, 53, 4, 14, 4, 0.301, 0.388, 0.470, 0.858, 0.370, 116.8
2000, 현대, 27, 121, 541, 441, 89, 150, 30, 3, 10, 216, 58, 9, 5, 12, 0, 47, 4, 20, 7, 0.340, 0.428, 0.490, 0.918, 0.398, 139.0
2001, 현대, 28, 123, 542, 456, 67, 110, 12, 3, 9, 155, 65, 5, 1, 16, 1, 53, 14, 22, 2, 0.241, 0.331, 0.340, 0.671, 0.304, 69.9
2002, 현대, 29, 108, 468, 402, 58, 107, 15, 2, 7, 147, 53, 4, 4, 11, 0, 42, 4, 29, 1, 0.266, 0.326, 0.366, 0.691, 0.295, 77.0
2003, 현대, 30, 131, 597, 502, 90, 147, 26, 4, 6, 199, 61, 6, 4, 18, 0, 53, 6, 26, 4, 0.293, 0.371, 0.396, 0.768, 0.340, 101.3
2004, 삼성, 31, 132, 587, 514, 78, 145, 25, 0, 8, 194, 59, 7, 2, 9, 0, 55, 10, 13, 4, 0.282, 0.350, 0.377, 0.728, 0.334, 96.1
2005, 삼성, 32, 119, 484, 392, 63, 105, 21, 0, 4, 138, 36, 5, 2, 18, 1, 48, 4, 25, 3, 0.268, 0.368, 0.352, 0.720, 0.325, 94.8
2006, 삼성, 33, 104, 330, 273, 22, 65, 13, 0, 1, 81, 30, 3, 1, 7, 0, 30, 10, 16, 4, 0.238, 0.325, 0.297, 0.622, 0.287, 76.3
2007, 삼성, 34, 17, 31, 27, 0, 5, 3, 0, 0, 8, 4, 0, 0, 0, 0, 3, 2, 3, 0, 0.185, 0.214, 0.296, 0.511, 0.214, 17.9
2008, 삼성, 35, 33, 94, 82, 8, 19, 2, 0, 0, 21, 5, 0, 1, 0, 0, 12, 2, 2, 1, 0.232, 0.304, 0.256, 0.560, 0.271, 56.5
2009, LG, 36, 62, 190, 161, 16, 43, 5, 1, 1, 53, 11, 0, 0, 1, 0, 19, 1, 5, 1, 0.267, 0.357, 0.329, 0.686, 0.318, 78.2
