year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 태평양, 22, 34, 62, 52, 12, 12, 5, 0, 1, 20, 7, 2, 1, 2, 0, 6, 0, 2, 1, 0.231, 0.317, 0.385, 0.701, 0.322, 96.0
1990, 태평양, 23, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -129.0
1991, 태평양, 24, 72, 179, 152, 25, 35, 11, 0, 2, 52, 8, 8, 1, 5, 1, 17, 5, 6, 0, 0.230, 0.324, 0.342, 0.666, 0.305, 83.7
1992, 태평양,LG, 25, 114, 427, 365, 55, 86, 19, 2, 7, 130, 42, 21, 11, 6, 1, 61, 8, 13, 2, 0.236, 0.321, 0.356, 0.677, 0.307, 79.2
, LG, 25, 56, 235, 194, 36, 47, 7, 0, 2, 60, 14, 18, 7, 3, 1, 33, 3, 7, 1, 0.242, 0.351, 0.309, 0.660, 0.309, 80.8
, 태평양, 25, 58, 192, 171, 19, 39, 12, 2, 5, 70, 28, 3, 4, 3, 0, 28, 5, 6, 1, 0.228, 0.285, 0.409, 0.694, 0.303, 77.3
1993, LG, 26, 124, 478, 401, 68, 107, 29, 5, 8, 170, 39, 28, 13, 4, 5, 69, 7, 17, 3, 0.267, 0.356, 0.424, 0.780, 0.349, 128.2
1994, LG, 27, 113, 339, 292, 46, 80, 20, 2, 1, 107, 39, 11, 8, 3, 2, 46, 1, 12, 3, 0.274, 0.343, 0.366, 0.709, 0.319, 99.9
1995, LG, 28, 85, 146, 130, 22, 27, 3, 0, 1, 33, 4, 8, 3, 0, 0, 25, 1, 6, 0, 0.208, 0.264, 0.254, 0.518, 0.237, 44.8
1996, LG, 29, 33, 16, 14, 4, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 3, 1, 1, 0, 0.071, 0.133, 0.071, 0.205, 0.103, -54.8
1997, LG, 30, 113, 234, 199, 24, 44, 7, 1, 3, 62, 23, 5, 2, 1, 0, 33, 2, 15, 3, 0.221, 0.279, 0.312, 0.590, 0.256, 51.7
1998, LG, 31, 29, 15, 12, 7, 3, 0, 0, 0, 3, 1, 1, 0, 0, 0, 2, 1, 3, 0, 0.250, 0.250, 0.250, 0.500, 0.185, 0.6
