year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 삼성, 20, 9, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -122.5
1993, 삼성, 21, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -123.8
1994, 삼성, 22, 25, 33, 32, 3, 6, 1, 0, 0, 7, 0, 0, 1, 0, 0, 7, 1, 0, 0, 0.188, 0.212, 0.219, 0.431, 0.205, 22.1
1995, 삼성, 23, 115, 361, 328, 39, 78, 14, 2, 5, 111, 28, 23, 6, 8, 1, 64, 4, 3, 1, 0.238, 0.299, 0.338, 0.637, 0.294, 86.8
1996, 삼성, 24, 75, 201, 174, 31, 40, 9, 0, 9, 76, 22, 6, 5, 10, 0, 37, 1, 1, 0, 0.230, 0.330, 0.437, 0.767, 0.352, 123.9
1997, 삼성, 25, 120, 452, 399, 79, 130, 37, 1, 21, 232, 66, 18, 12, 14, 3, 79, 3, 3, 2, 0.326, 0.396, 0.581, 0.978, 0.428, 169.7
1998, 삼성, 26, 78, 278, 238, 38, 69, 9, 0, 13, 117, 35, 11, 4, 13, 1, 48, 9, 6, 1, 0.290, 0.375, 0.492, 0.867, 0.377, 137.5
1999, 삼성, 27, 122, 484, 431, 64, 120, 9, 2, 22, 199, 87, 26, 5, 12, 3, 102, 9, 7, 7, 0.278, 0.333, 0.462, 0.795, 0.339, 95.9
2000, 삼성, 28, 97, 360, 310, 53, 81, 14, 0, 12, 131, 52, 17, 4, 13, 0, 80, 3, 6, 5, 0.261, 0.339, 0.423, 0.762, 0.336, 96.9
2001, 해태/KIA, 29, 116, 435, 387, 64, 110, 24, 1, 11, 169, 52, 13, 8, 10, 3, 58, 5, 1, 4, 0.284, 0.353, 0.437, 0.789, 0.356, 104.3
2002, KIA, 30, 81, 273, 244, 34, 76, 9, 1, 7, 108, 33, 6, 2, 3, 2, 59, 8, 0, 2, 0.311, 0.377, 0.443, 0.820, 0.365, 125.5
2003, KIA, 31, 95, 238, 205, 29, 54, 8, 1, 8, 88, 31, 1, 2, 3, 1, 47, 5, 3, 1, 0.263, 0.353, 0.429, 0.783, 0.349, 107.9
2004, 삼성, 32, 73, 118, 105, 11, 23, 5, 1, 2, 36, 9, 1, 2, 3, 0, 26, 2, 1, 1, 0.219, 0.291, 0.343, 0.634, 0.293, 68.3
2005, 삼성,KIA, 33, 23, 35, 32, 2, 3, 0, 0, 0, 3, 0, 0, 0, 2, 1, 13, 0, 0, 0, 0.094, 0.171, 0.094, 0.265, 0.127, -40.2
, KIA, 33, 12, 25, 24, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 11, 0, 0, 0, 0.125, 0.160, 0.125, 0.285, 0.143, -29.5
, 삼성, 33, 11, 10, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0.000, 0.200, 0.000, 0.200, 0.084, -69.9
2006, KIA, 34, 8, 14, 13, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0.077, 0.143, 0.077, 0.220, 0.118, -43.6
