year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1997, LG, 23, 17, 29, 24, 9, 9, 5, 0, 2, 20, 6, 0, 0, 1, 0, 9, 0, 1, 0, 0.375, 0.464, 0.833, 1.298, 0.531, 248.2
1998, LG, 24, 35, 53, 45, 4, 6, 2, 0, 0, 8, 3, 0, 0, 0, 0, 19, 1, 1, 0, 0.133, 0.250, 0.178, 0.428, 0.211, 19.8
1999, LG, 25, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
2000, LG, 26, 83, 236, 202, 29, 52, 9, 1, 11, 96, 34, 5, 3, 2, 0, 51, 4, 2, 2, 0.257, 0.350, 0.475, 0.826, 0.361, 113.8
2001, LG,SK, 27, 124, 438, 369, 52, 94, 15, 0, 11, 142, 44, 19, 5, 6, 0, 90, 14, 12, 1, 0.255, 0.352, 0.385, 0.737, 0.335, 90.2
, SK, 27, 109, 407, 346, 49, 90, 14, 0, 11, 137, 42, 18, 5, 6, 0, 84, 14, 11, 1, 0.260, 0.351, 0.396, 0.747, 0.337, 92.0
, LG, 27, 15, 31, 23, 3, 4, 1, 0, 0, 5, 2, 1, 0, 0, 0, 6, 0, 1, 0, 0.174, 0.367, 0.217, 0.584, 0.300, 66.0
2002, SK, 28, 5, 20, 17, 3, 5, 1, 0, 1, 9, 2, 4, 1, 1, 0, 4, 0, 0, 0, 0.294, 0.400, 0.529, 0.929, 0.408, 156.4
2003, SK, 29, 85, 209, 182, 30, 45, 11, 2, 7, 81, 29, 4, 5, 3, 0, 53, 3, 5, 2, 0.247, 0.319, 0.445, 0.764, 0.331, 95.4
2004, SK, 30, 73, 174, 157, 14, 35, 6, 0, 3, 50, 21, 2, 1, 3, 0, 50, 5, 3, 1, 0.223, 0.281, 0.318, 0.599, 0.276, 56.0
2005, LG, 31, 65, 199, 174, 16, 41, 10, 0, 2, 57, 18, 15, 6, 5, 0, 49, 1, 9, 2, 0.236, 0.290, 0.328, 0.617, 0.275, 59.8
2006, LG, 32, 81, 193, 174, 15, 41, 14, 0, 3, 64, 19, 4, 1, 0, 0, 38, 5, 7, 2, 0.236, 0.274, 0.368, 0.642, 0.286, 75.6
2007, LG, 33, 10, 10, 10, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0.100, 0.100, 0.200, 0.300, 0.133, -39.9
2008, KIA, 34, 3, 7, 7, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.143, 0.143, 0.143, 0.286, 0.136, -36.3
