year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, LG, 23, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -135.4
2003, LG, 24, 37, 49, 42, 9, 5, 2, 0, 0, 7, 7, 4, 0, 0, 0, 12, 0, 3, 0, 0.119, 0.196, 0.167, 0.362, 0.168, -21.8
2004, LG, 25, 22, 35, 29, 5, 3, 2, 0, 0, 5, 5, 1, 0, 2, 0, 11, 0, 0, 0, 0.103, 0.257, 0.172, 0.430, 0.228, 22.2
2005, LG, 26, 13, 8, 7, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0.143, 0.143, 0.143, 0.286, 0.118, -49.9
2006, LG, 27, 20, 31, 28, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0.071, 0.161, 0.071, 0.233, 0.130, -38.5
2007, LG, 28, 12, 19, 18, 2, 4, 1, 0, 0, 5, 1, 1, 0, 0, 0, 4, 0, 0, 0, 0.222, 0.263, 0.278, 0.541, 0.258, 48.8
2008, LG, 29, 101, 421, 370, 46, 109, 27, 3, 7, 163, 52, 7, 2, 0, 1, 79, 6, 3, 9, 0.295, 0.354, 0.441, 0.795, 0.362, 118.8
2009, LG, 30, 90, 256, 224, 29, 53, 5, 1, 5, 75, 30, 3, 2, 1, 1, 47, 3, 3, 1, 0.237, 0.320, 0.335, 0.655, 0.301, 66.5
2010, LG,SK, 31, 30, 58, 48, 3, 15, 1, 0, 1, 19, 4, 2, 1, 1, 0, 10, 2, 0, 1, 0.313, 0.414, 0.396, 0.810, 0.382, 127.3
, SK, 31, 14, 35, 27, 2, 9, 1, 0, 1, 13, 4, 0, 0, 1, 0, 3, 1, 0, 1, 0.333, 0.457, 0.481, 0.939, 0.430, 159.3
, LG, 31, 16, 23, 21, 1, 6, 0, 0, 0, 6, 0, 2, 1, 0, 0, 7, 1, 0, 0, 0.286, 0.348, 0.286, 0.634, 0.310, 78.5
2011, SK, 32, 93, 267, 219, 45, 68, 8, 0, 12, 112, 42, 3, 0, 1, 0, 56, 2, 2, 1, 0.311, 0.426, 0.511, 0.938, 0.429, 164.0
2012, SK, 33, 92, 232, 198, 23, 44, 10, 1, 6, 74, 23, 3, 0, 1, 0, 66, 3, 2, 0, 0.222, 0.330, 0.374, 0.704, 0.332, 105.7
2013, SK, 34, 17, 45, 41, 2, 10, 0, 0, 1, 13, 5, 1, 0, 0, 0, 17, 0, 0, 0, 0.244, 0.311, 0.317, 0.628, 0.303, 73.4
