year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, 삼성, 21, 6, 15, 14, 2, 3, 0, 0, 1, 6, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0.214, 0.267, 0.429, 0.695, 0.316, 98.0
1995, 삼성, 22, 125, 478, 420, 70, 121, 17, 3, 22, 210, 81, 2, 0, 20, 5, 96, 11, 3, 1, 0.288, 0.368, 0.500, 0.868, 0.388, 151.2
1996, 삼성, 23, 94, 277, 241, 25, 64, 13, 2, 8, 105, 38, 1, 2, 6, 1, 75, 6, 1, 2, 0.266, 0.351, 0.436, 0.787, 0.360, 129.2
1997, 삼성,롯데, 24, 39, 104, 96, 2, 15, 1, 0, 1, 19, 7, 0, 0, 4, 0, 32, 6, 1, 0, 0.156, 0.214, 0.198, 0.412, 0.198, 15.5
, 롯데, 24, 19, 50, 46, 1, 8, 1, 0, 0, 9, 3, 0, 0, 2, 0, 19, 1, 1, 0, 0.174, 0.225, 0.196, 0.420, 0.201, 16.7
, 삼성, 24, 20, 54, 50, 1, 7, 0, 0, 1, 10, 4, 0, 0, 2, 0, 13, 5, 0, 0, 0.140, 0.204, 0.200, 0.404, 0.196, 14.3
1998, 롯데,쌍방울, 25, 82, 216, 186, 21, 46, 8, 0, 9, 81, 30, 1, 0, 3, 1, 63, 5, 2, 1, 0.247, 0.341, 0.435, 0.777, 0.344, 115.0
, 롯데, 25, 20, 30, 26, 2, 5, 1, 0, 0, 6, 2, 1, 0, 1, 0, 10, 0, 0, 0, 0.192, 0.300, 0.231, 0.531, 0.261, 57.7
, 쌍방울, 25, 62, 186, 160, 19, 41, 6, 0, 9, 74, 28, 0, 0, 2, 1, 53, 5, 2, 1, 0.256, 0.348, 0.463, 0.810, 0.355, 123.1
1999, 쌍방울, 26, 86, 357, 291, 56, 93, 19, 2, 19, 173, 68, 2, 0, 14, 3, 69, 9, 2, 4, 0.320, 0.431, 0.595, 1.026, 0.434, 159.6
2000, SK, 27, 96, 274, 224, 34, 58, 11, 1, 14, 113, 40, 1, 2, 10, 0, 73, 5, 1, 5, 0.259, 0.374, 0.504, 0.878, 0.383, 127.9
2001, SK,해태/KIA, 28, 84, 294, 241, 39, 66, 11, 1, 15, 124, 49, 0, 1, 3, 0, 75, 8, 0, 3, 0.274, 0.395, 0.515, 0.909, 0.405, 136.3
, 해태/KIA, 28, 82, 292, 239, 39, 65, 11, 1, 15, 123, 49, 0, 1, 3, 0, 74, 8, 0, 3, 0.272, 0.394, 0.515, 0.909, 0.404, 136.0
, SK, 28, 2, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.500, 0.500, 0.500, 1.000, 0.472, 181.5
2002, KIA, 29, 28, 56, 48, 3, 11, 1, 0, 0, 12, 8, 0, 0, 6, 0, 16, 1, 0, 0, 0.229, 0.339, 0.250, 0.589, 0.291, 73.7
2003, KIA,두산, 30, 34, 59, 52, 5, 10, 1, 0, 0, 11, 6, 1, 0, 1, 1, 16, 0, 0, 0, 0.192, 0.288, 0.212, 0.500, 0.242, 31.0
, 두산, 30, 34, 59, 52, 5, 10, 1, 0, 0, 11, 6, 1, 0, 1, 1, 16, 0, 0, 0, 0.192, 0.288, 0.212, 0.500, 0.242, 31.0
, KIA, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
