year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1987, 빙그레, 24, 100, 441, 370, 56, 124, 13, 7, 4, 163, 34, 20, 13, 10, 2, 25, 1, 24, 2, 0.335, 0.405, 0.441, 0.846, 0.378, 134.4
1988, 빙그레, 25, 96, 414, 366, 69, 113, 20, 3, 4, 151, 34, 18, 9, 4, 1, 26, 4, 5, 2, 0.309, 0.377, 0.413, 0.789, 0.364, 125.1
1989, 빙그레, 26, 51, 219, 198, 30, 64, 20, 2, 1, 91, 23, 14, 1, 3, 0, 12, 0, 1, 3, 0.323, 0.372, 0.460, 0.831, 0.388, 140.0
1990, 빙그레, 27, 114, 459, 402, 71, 117, 20, 3, 7, 164, 52, 22, 6, 2, 2, 26, 5, 4, 6, 0.291, 0.360, 0.408, 0.768, 0.358, 117.9
1991, 빙그레, 28, 111, 433, 379, 81, 132, 21, 12, 17, 228, 55, 18, 6, 4, 2, 33, 6, 4, 3, 0.348, 0.417, 0.602, 1.019, 0.451, 183.2
1992, 빙그레, 29, 111, 437, 369, 89, 133, 17, 2, 25, 229, 68, 21, 3, 10, 1, 27, 6, 3, 9, 0.360, 0.436, 0.621, 1.056, 0.460, 182.0
1993, 빙그레, 30, 41, 129, 111, 10, 25, 5, 1, 2, 38, 12, 3, 1, 0, 2, 15, 2, 1, 2, 0.225, 0.313, 0.342, 0.655, 0.303, 93.5
1994, 한화, 31, 67, 272, 239, 35, 59, 7, 2, 2, 76, 22, 13, 6, 2, 2, 23, 2, 4, 2, 0.247, 0.321, 0.318, 0.639, 0.297, 84.7
1995, 삼성, 32, 74, 257, 236, 33, 59, 9, 0, 1, 71, 10, 12, 6, 2, 1, 20, 2, 2, 1, 0.250, 0.302, 0.301, 0.603, 0.281, 77.9
1996, 삼성, 33, 61, 156, 136, 16, 29, 4, 2, 1, 40, 10, 3, 1, 4, 3, 13, 1, 0, 0, 0.213, 0.314, 0.294, 0.608, 0.286, 78.5
1997, OB, 34, 92, 295, 266, 25, 63, 16, 3, 2, 91, 33, 7, 3, 3, 3, 26, 5, 4, 2, 0.237, 0.296, 0.342, 0.638, 0.286, 73.1
