year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1987, 빙그레, 23, 48, 74, 65, 13, 17, 3, 0, 0, 20, 6, 3, 4, 3, 0, 5, 2, 1, 0, 0.262, 0.343, 0.308, 0.650, 0.316, 92.0
1988, 빙그레, 24, 66, 116, 105, 15, 32, 2, 0, 1, 37, 19, 2, 2, 1, 0, 5, 3, 3, 1, 0.305, 0.345, 0.352, 0.698, 0.322, 96.5
1989, 빙그레, 25, 111, 301, 272, 49, 80, 13, 6, 0, 105, 25, 25, 4, 0, 3, 21, 2, 10, 2, 0.294, 0.333, 0.386, 0.719, 0.326, 98.9
1990, 빙그레, 26, 107, 316, 277, 48, 71, 10, 2, 1, 88, 19, 16, 10, 1, 2, 22, 3, 10, 1, 0.256, 0.324, 0.318, 0.641, 0.299, 78.5
1991, 빙그레, 27, 118, 351, 304, 46, 94, 11, 7, 1, 122, 32, 20, 8, 1, 0, 26, 2, 7, 5, 0.309, 0.375, 0.401, 0.776, 0.356, 118.5
1992, 빙그레, 28, 90, 266, 247, 33, 51, 10, 0, 1, 64, 20, 9, 5, 1, 0, 12, 3, 1, 3, 0.206, 0.249, 0.259, 0.508, 0.240, 34.9
1993, 빙그레, 29, 15, 22, 19, 6, 3, 0, 0, 0, 3, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0.158, 0.273, 0.158, 0.431, 0.226, 38.2
1994, 한화, 30, 85, 256, 228, 22, 50, 10, 0, 1, 63, 16, 7, 7, 2, 0, 20, 5, 10, 2, 0.219, 0.268, 0.276, 0.545, 0.249, 51.5
1995, 한화,삼성, 31, 7, 7, 7, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.143, 0.143, 0.143, 0.286, 0.134, -23.3
, 한화, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
, 삼성, 31, 7, 7, 7, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.143, 0.143, 0.143, 0.286, 0.134, -22.9
1996, 삼성, 32, 64, 174, 154, 24, 38, 2, 1, 2, 48, 11, 6, 2, 1, 0, 18, 4, 7, 0, 0.247, 0.305, 0.312, 0.617, 0.281, 75.5
