year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1990, 삼성, 18, 9, 6, 6, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.167, 0.167, 0.167, 0.333, 0.160, -12.8
1991, 삼성, 19, 87, 237, 200, 35, 52, 7, 1, 0, 61, 25, 12, 10, 1, 1, 31, 6, 11, 2, 0.260, 0.336, 0.305, 0.641, 0.294, 76.8
1992, 삼성, 20, 109, 312, 258, 50, 75, 10, 1, 2, 93, 25, 37, 6, 2, 0, 31, 5, 7, 2, 0.291, 0.393, 0.360, 0.754, 0.353, 110.3
1993, 삼성, 21, 101, 293, 259, 41, 62, 15, 2, 3, 90, 26, 23, 12, 1, 0, 56, 8, 7, 3, 0.239, 0.301, 0.347, 0.648, 0.299, 91.1
1994, 삼성, 22, 89, 341, 300, 43, 75, 6, 1, 1, 86, 29, 29, 4, 5, 1, 46, 3, 4, 4, 0.250, 0.321, 0.287, 0.607, 0.288, 79.1
1995, 한화, 23, 89, 255, 222, 33, 47, 7, 2, 2, 64, 16, 37, 4, 1, 0, 31, 0, 7, 1, 0.212, 0.290, 0.288, 0.579, 0.267, 67.9
1996, 한화, 24, 73, 115, 99, 28, 20, 3, 2, 0, 27, 4, 18, 5, 1, 0, 24, 0, 2, 1, 0.202, 0.292, 0.273, 0.565, 0.267, 64.5
1997, 한화, 25, 54, 69, 57, 17, 18, 3, 1, 1, 26, 6, 13, 6, 0, 0, 13, 0, 2, 0, 0.316, 0.418, 0.456, 0.874, 0.389, 145.0
1998, 한화, 26, 78, 81, 72, 19, 10, 2, 0, 1, 15, 3, 13, 3, 0, 0, 14, 1, 5, 0, 0.139, 0.184, 0.208, 0.393, 0.172, -2.8
1999, 한화, 27, 15, 7, 3, 4, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0.000, 0.500, 0.000, 0.500, 0.311, 78.1
