year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, 두산, 19, 85, 259, 231, 47, 61, 8, 6, 3, 90, 17, 13, 7, 3, 0, 45, 1, 0, 1, 0.264, 0.340, 0.390, 0.729, 0.334, 89.0
2010, 두산, 20, 76, 156, 143, 35, 46, 8, 6, 1, 69, 19, 13, 3, 0, 0, 25, 2, 1, 2, 0.322, 0.361, 0.483, 0.844, 0.376, 122.9
2011, 두산, 21, 128, 476, 414, 66, 118, 17, 8, 1, 154, 38, 31, 8, 11, 0, 77, 5, 8, 3, 0.285, 0.361, 0.372, 0.733, 0.343, 105.5
2012, 두산, 22, 101, 357, 315, 46, 74, 11, 7, 0, 99, 32, 24, 6, 3, 1, 46, 5, 19, 2, 0.235, 0.281, 0.314, 0.595, 0.266, 59.3
2013, 두산, 23, 125, 260, 228, 57, 63, 2, 8, 2, 87, 29, 23, 8, 6, 0, 29, 1, 8, 2, 0.276, 0.337, 0.382, 0.719, 0.328, 90.2
2014, 두산, 24, 128, 507, 431, 79, 132, 18, 7, 6, 182, 49, 32, 5, 11, 1, 68, 8, 22, 2, 0.306, 0.379, 0.422, 0.802, 0.352, 99.7
2015, 두산, 25, 128, 570, 491, 79, 145, 27, 7, 2, 192, 59, 15, 9, 11, 1, 70, 9, 19, 6, 0.295, 0.361, 0.391, 0.752, 0.334, 91.2
2016, 두산, 26, 114, 305, 269, 49, 65, 7, 2, 2, 82, 20, 12, 4, 6, 0, 48, 7, 4, 1, 0.242, 0.319, 0.305, 0.624, 0.296, 58.1
2018, 두산, 28, 26, 112, 98, 20, 36, 2, 1, 2, 46, 23, 5, 2, 1, 0, 13, 1, 0, 2, 0.367, 0.429, 0.469, 0.898, 0.402, 136.7
2019, 두산, 29, 123, 513, 441, 75, 117, 19, 5, 0, 146, 42, 26, 8, 6, 0, 60, 6, 4, 5, 0.265, 0.354, 0.331, 0.685, 0.325, 95.0
2020, 두산, 30, 141, 559, 490, 84, 146, 17, 8, 5, 194, 59, 15, 6, 2, 3, 56, 10, 7, 5, 0.298, 0.368, 0.396, 0.764, 0.348, 104.3
2021, 두산, 31, 104, 351, 313, 50, 81, 19, 4, 3, 117, 37, 12, 7, 3, 1, 50, 7, 4, 2, 0.259, 0.326, 0.374, 0.700, 0.325, 91.6
2022, 두산, 32, 34, 115, 103, 14, 23, 1, 2, 0, 28, 10, 10, 2, 0, 0, 15, 0, 2, 1, 0.223, 0.283, 0.272, 0.555, 0.261, 60.9
