year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2008, 두산, 19, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
2012, 두산, 23, 69, 104, 91, 9, 19, 4, 0, 1, 26, 8, 0, 0, 4, 0, 17, 1, 4, 1, 0.209, 0.270, 0.286, 0.556, 0.258, 53.6
2013, 두산, 24, 60, 108, 89, 12, 24, 5, 0, 2, 35, 8, 0, 0, 8, 0, 19, 3, 4, 1, 0.270, 0.365, 0.393, 0.759, 0.348, 104.1
2014, 두산, 25, 48, 125, 112, 9, 27, 3, 1, 1, 35, 10, 0, 2, 3, 0, 22, 3, 3, 2, 0.241, 0.287, 0.313, 0.599, 0.271, 45.7
2015, 두산, 26, 71, 114, 99, 6, 15, 3, 0, 0, 18, 7, 0, 0, 8, 0, 19, 6, 3, 1, 0.152, 0.234, 0.182, 0.416, 0.205, 4.3
2016, 두산, 27, 22, 22, 18, 1, 3, 1, 0, 0, 4, 4, 0, 0, 1, 0, 2, 1, 0, 1, 0.167, 0.273, 0.222, 0.495, 0.247, 27.2
2017, 두산,한화, 28, 104, 309, 269, 22, 69, 10, 0, 1, 82, 16, 0, 2, 8, 0, 36, 10, 6, 0, 0.257, 0.340, 0.305, 0.645, 0.302, 69.2
, 한화, 28, 98, 301, 262, 21, 66, 10, 0, 1, 79, 15, 0, 2, 8, 0, 36, 10, 6, 0, 0.252, 0.336, 0.302, 0.637, 0.298, 66.7
, 두산, 28, 6, 8, 7, 1, 3, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.429, 0.500, 0.429, 0.929, 0.439, 161.2
2018, 한화, 29, 128, 341, 298, 36, 78, 17, 0, 1, 98, 27, 8, 0, 15, 0, 61, 8, 6, 2, 0.262, 0.337, 0.329, 0.666, 0.305, 71.1
2019, 한화, 30, 135, 451, 373, 47, 108, 18, 0, 3, 135, 31, 3, 10, 14, 0, 61, 9, 4, 4, 0.290, 0.398, 0.362, 0.760, 0.362, 122.0
2020, 한화, 31, 126, 389, 339, 46, 102, 19, 0, 3, 130, 36, 0, 0, 16, 0, 44, 7, 5, 0, 0.301, 0.383, 0.383, 0.766, 0.358, 111.1
2021, 한화, 32, 116, 467, 375, 52, 103, 21, 0, 7, 145, 44, 3, 2, 13, 2, 68, 16, 5, 3, 0.275, 0.405, 0.387, 0.791, 0.376, 124.6
2022, 한화, 33, 35, 145, 115, 13, 26, 2, 0, 0, 28, 5, 0, 0, 7, 0, 22, 5, 1, 1, 0.226, 0.375, 0.243, 0.619, 0.313, 100.0
