year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1983, 롯데, 22, 57, 141, 123, 8, 27, 3, 0, 1, 33, 9, 1, 2, 1, 0, 9, 3, 4, 1, 0.220, 0.292, 0.268, 0.560, 0.263, 62.2
1984, 롯데, 23, 63, 167, 141, 14, 41, 7, 0, 4, 60, 16, 0, 1, 0, 1, 15, 4, 7, 0, 0.291, 0.375, 0.426, 0.801, 0.358, 127.7
1985, 롯데, 24, 97, 313, 270, 27, 72, 12, 0, 3, 93, 29, 2, 2, 2, 1, 19, 11, 13, 5, 0.267, 0.323, 0.344, 0.668, 0.301, 82.3
1986, 롯데, 25, 86, 257, 228, 20, 57, 10, 0, 2, 73, 15, 0, 1, 1, 0, 19, 3, 11, 2, 0.250, 0.297, 0.320, 0.617, 0.283, 76.5
1987, 롯데, 26, 25, 63, 55, 3, 11, 1, 2, 0, 16, 2, 0, 1, 0, 0, 2, 2, 2, 0, 0.200, 0.279, 0.291, 0.570, 0.267, 56.8
1988, 롯데, 27, 62, 140, 119, 9, 31, 8, 0, 0, 39, 20, 2, 2, 3, 0, 8, 0, 8, 1, 0.261, 0.326, 0.328, 0.654, 0.294, 77.4
1989, 롯데, 28, 78, 197, 168, 14, 43, 8, 0, 0, 51, 16, 1, 1, 0, 0, 16, 5, 8, 2, 0.256, 0.328, 0.304, 0.632, 0.297, 79.3
1990, 롯데, 29, 90, 260, 218, 16, 55, 11, 0, 1, 69, 31, 2, 0, 2, 0, 18, 4, 11, 4, 0.252, 0.329, 0.317, 0.646, 0.300, 79.4
1991, 롯데, 30, 89, 172, 146, 6, 42, 8, 2, 2, 60, 24, 0, 0, 2, 0, 10, 7, 8, 2, 0.288, 0.354, 0.411, 0.765, 0.339, 106.7
1992, 롯데, 31, 16, 24, 22, 2, 2, 0, 0, 1, 5, 1, 0, 0, 0, 0, 7, 2, 0, 0, 0.091, 0.167, 0.227, 0.394, 0.184, -0.3
