year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, 해태, 22, 49, 191, 171, 24, 41, 6, 0, 5, 62, 21, 2, 3, 4, 0, 27, 4, 2, 1, 0.240, 0.307, 0.363, 0.670, 0.302, 74.3
2001, 해태/KIA, 23, 133, 508, 451, 60, 132, 24, 1, 14, 200, 72, 8, 2, 3, 2, 62, 14, 5, 6, 0.293, 0.354, 0.443, 0.797, 0.356, 104.6
2002, KIA, 24, 111, 449, 401, 43, 103, 21, 0, 12, 160, 69, 7, 5, 6, 2, 68, 10, 8, 4, 0.257, 0.315, 0.399, 0.714, 0.311, 88.1
2003, KIA, 25, 129, 549, 487, 75, 141, 26, 1, 22, 235, 100, 7, 7, 3, 0, 54, 13, 5, 9, 0.290, 0.347, 0.483, 0.830, 0.364, 118.2
2004, KIA, 26, 96, 407, 342, 57, 101, 20, 1, 15, 168, 51, 8, 4, 6, 1, 43, 14, 3, 6, 0.295, 0.389, 0.491, 0.880, 0.394, 136.7
2005, KIA, 27, 90, 386, 345, 45, 98, 15, 1, 9, 142, 46, 7, 7, 2, 3, 41, 15, 1, 2, 0.284, 0.353, 0.412, 0.765, 0.350, 111.3
2006, KIA, 28, 66, 243, 214, 14, 44, 6, 0, 1, 53, 17, 0, 0, 4, 0, 34, 9, 4, 2, 0.206, 0.280, 0.248, 0.528, 0.254, 53.4
2007, KIA, 29, 59, 230, 199, 22, 52, 7, 0, 7, 80, 27, 0, 2, 4, 0, 22, 8, 5, 2, 0.261, 0.338, 0.402, 0.740, 0.338, 105.6
2009, KIA, 31, 74, 257, 218, 26, 57, 8, 0, 5, 80, 27, 2, 2, 5, 2, 39, 5, 3, 1, 0.261, 0.362, 0.367, 0.729, 0.335, 89.4
2010, KIA, 32, 10, 27, 25, 0, 5, 1, 0, 0, 6, 1, 0, 0, 0, 0, 6, 2, 0, 0, 0.200, 0.259, 0.240, 0.499, 0.242, 33.1
