year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 한화, 23, 123, 450, 382, 46, 100, 20, 0, 9, 147, 47, 5, 4, 11, 1, 75, 12, 9, 6, 0.262, 0.347, 0.385, 0.732, 0.334, 112.0
1997, 한화, 24, 90, 281, 253, 21, 67, 13, 1, 4, 94, 30, 1, 1, 2, 1, 47, 3, 7, 1, 0.265, 0.318, 0.372, 0.689, 0.308, 89.1
1998, 한화, 25, 28, 76, 63, 6, 14, 2, 0, 2, 22, 9, 1, 0, 2, 0, 12, 1, 4, 2, 0.222, 0.292, 0.349, 0.641, 0.275, 67.7
1999, 한화,두산, 26, 98, 133, 118, 14, 19, 6, 0, 4, 37, 13, 0, 0, 2, 1, 30, 5, 1, 1, 0.161, 0.242, 0.314, 0.556, 0.244, 31.6
, 한화, 26, 17, 28, 24, 2, 2, 1, 0, 0, 3, 1, 0, 0, 1, 0, 7, 1, 0, 1, 0.083, 0.179, 0.125, 0.304, 0.157, -21.9
, 두산, 26, 81, 105, 94, 12, 17, 5, 0, 4, 34, 12, 0, 0, 1, 1, 23, 4, 1, 0, 0.181, 0.260, 0.362, 0.621, 0.267, 46.8
2000, 두산, 27, 113, 258, 221, 31, 60, 8, 2, 5, 87, 30, 2, 2, 6, 0, 54, 4, 5, 1, 0.271, 0.360, 0.394, 0.753, 0.339, 99.0
2001, 두산, 28, 84, 284, 242, 34, 64, 13, 1, 6, 97, 42, 1, 0, 5, 1, 39, 4, 6, 2, 0.264, 0.353, 0.401, 0.753, 0.340, 93.4
2002, 두산, 29, 109, 191, 170, 17, 29, 6, 0, 1, 38, 11, 1, 0, 2, 1, 36, 5, 1, 3, 0.171, 0.242, 0.224, 0.466, 0.217, 19.7
2003, 두산, 30, 124, 453, 384, 43, 105, 13, 1, 8, 144, 42, 0, 3, 3, 2, 65, 7, 9, 3, 0.273, 0.365, 0.375, 0.740, 0.336, 98.6
2004, 두산, 31, 101, 190, 160, 16, 34, 5, 0, 2, 45, 18, 0, 0, 3, 0, 37, 7, 5, 3, 0.213, 0.303, 0.281, 0.584, 0.275, 54.7
2005, 두산, 32, 92, 162, 139, 17, 32, 6, 1, 3, 49, 22, 0, 0, 5, 0, 32, 1, 4, 1, 0.230, 0.317, 0.353, 0.669, 0.306, 80.9
2006, 현대, 33, 56, 173, 148, 16, 40, 6, 0, 4, 58, 20, 0, 2, 1, 0, 29, 5, 9, 1, 0.270, 0.335, 0.392, 0.727, 0.323, 102.6
2007, 현대, 34, 25, 32, 28, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 12, 1, 1, 0, 0.071, 0.161, 0.071, 0.233, 0.127, -40.8
