year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, 현대, 25, 89, 147, 130, 16, 27, 3, 1, 6, 50, 20, 0, 2, 3, 0, 35, 5, 1, 2, 0.208, 0.281, 0.385, 0.665, 0.292, 74.9
2003, 현대, 26, 43, 79, 65, 6, 9, 0, 1, 2, 17, 11, 0, 1, 1, 0, 17, 1, 1, 0, 0.138, 0.282, 0.262, 0.544, 0.261, 46.7
2004, 현대, 27, 16, 21, 17, 0, 3, 1, 0, 0, 4, 1, 1, 0, 0, 0, 5, 1, 0, 1, 0.176, 0.286, 0.235, 0.521, 0.256, 43.5
2005, 현대, 28, 94, 215, 182, 25, 45, 10, 0, 6, 73, 20, 2, 0, 4, 0, 44, 6, 2, 0, 0.247, 0.357, 0.401, 0.758, 0.350, 111.5
2006, 현대, 29, 93, 156, 133, 16, 29, 7, 1, 4, 50, 25, 1, 1, 4, 0, 28, 7, 0, 0, 0.218, 0.333, 0.376, 0.709, 0.336, 111.8
2007, 현대, 30, 91, 150, 135, 11, 37, 4, 0, 4, 53, 17, 0, 1, 0, 1, 24, 5, 0, 2, 0.274, 0.333, 0.393, 0.726, 0.336, 104.1
2008, 히어로즈, 31, 71, 141, 119, 12, 32, 8, 0, 4, 52, 17, 0, 2, 3, 1, 18, 2, 3, 2, 0.269, 0.355, 0.437, 0.792, 0.357, 114.4
2009, 히어로즈, 32, 54, 94, 76, 9, 19, 4, 0, 2, 29, 14, 2, 2, 3, 0, 21, 0, 1, 1, 0.250, 0.376, 0.382, 0.758, 0.350, 100.1
2010, 넥센, 33, 107, 300, 251, 32, 72, 9, 1, 9, 110, 30, 2, 2, 11, 2, 51, 5, 1, 3, 0.287, 0.391, 0.438, 0.830, 0.379, 125.3
2011, 넥센, 34, 77, 189, 167, 16, 29, 8, 1, 2, 45, 17, 2, 0, 2, 0, 53, 3, 4, 1, 0.174, 0.249, 0.269, 0.518, 0.244, 37.5
2012, 넥센, 35, 26, 36, 30, 4, 6, 2, 0, 0, 8, 2, 1, 1, 1, 0, 9, 0, 0, 0, 0.200, 0.333, 0.267, 0.600, 0.302, 84.4
