year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 빙그레, 24, 63, 211, 186, 11, 48, 8, 0, 1, 59, 19, 2, 2, 1, 0, 25, 5, 7, 1, 0.258, 0.319, 0.317, 0.636, 0.297, 87.8
1987, 빙그레, 25, 90, 266, 230, 19, 61, 12, 1, 0, 75, 19, 2, 6, 4, 2, 35, 2, 1, 2, 0.265, 0.355, 0.326, 0.681, 0.328, 100.3
1988, 빙그레, 26, 98, 342, 299, 43, 85, 16, 1, 4, 115, 32, 7, 3, 10, 1, 26, 11, 5, 2, 0.284, 0.359, 0.385, 0.744, 0.345, 112.0
1989, 빙그레, 27, 119, 384, 341, 38, 97, 17, 3, 4, 132, 48, 4, 2, 6, 0, 27, 10, 0, 6, 0.284, 0.349, 0.387, 0.736, 0.351, 115.3
1990, 빙그레, 28, 107, 339, 296, 31, 79, 16, 0, 2, 101, 32, 2, 3, 3, 0, 30, 8, 2, 3, 0.267, 0.347, 0.341, 0.688, 0.332, 100.1
1991, 빙그레, 29, 115, 338, 284, 35, 81, 18, 2, 13, 142, 60, 2, 2, 3, 1, 60, 8, 7, 2, 0.285, 0.381, 0.500, 0.881, 0.392, 143.1
1992, 빙그레, 30, 119, 428, 357, 39, 94, 15, 1, 14, 153, 63, 0, 5, 5, 8, 47, 13, 4, 4, 0.263, 0.370, 0.429, 0.799, 0.357, 113.7
1993, 빙그레, 31, 104, 331, 273, 26, 66, 9, 0, 6, 93, 42, 3, 4, 2, 2, 38, 6, 2, 4, 0.242, 0.359, 0.341, 0.699, 0.333, 115.6
1994, 한화, 32, 121, 429, 364, 41, 94, 16, 1, 6, 130, 50, 5, 2, 10, 3, 42, 9, 5, 5, 0.258, 0.351, 0.357, 0.709, 0.329, 107.1
1995, 한화, 33, 101, 269, 241, 19, 60, 7, 0, 2, 73, 22, 1, 1, 1, 0, 32, 11, 5, 3, 0.249, 0.303, 0.303, 0.606, 0.280, 76.8
