year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, LG, 20, 45, 37, 32, 4, 4, 0, 0, 1, 7, 2, 0, 1, 0, 0, 9, 2, 3, 1, 0.125, 0.147, 0.219, 0.366, 0.154, -18.2
1997, LG, 21, 37, 60, 54, 7, 12, 0, 0, 1, 15, 6, 0, 1, 2, 0, 10, 0, 2, 0, 0.222, 0.276, 0.278, 0.554, 0.254, 50.2
2000, LG, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
2001, LG, 25, 106, 212, 184, 31, 45, 8, 3, 1, 62, 20, 4, 0, 8, 0, 43, 5, 6, 1, 0.245, 0.320, 0.337, 0.657, 0.302, 67.4
2002, LG, 26, 125, 327, 294, 28, 64, 13, 1, 4, 91, 32, 13, 5, 5, 0, 89, 5, 16, 2, 0.218, 0.254, 0.310, 0.564, 0.242, 38.0
2003, LG, 27, 78, 232, 205, 15, 36, 6, 3, 1, 51, 17, 4, 2, 5, 0, 52, 2, 8, 2, 0.176, 0.237, 0.249, 0.485, 0.221, 15.8
2004, LG, 28, 124, 341, 285, 34, 67, 5, 5, 2, 88, 25, 9, 5, 13, 0, 81, 5, 14, 2, 0.235, 0.327, 0.309, 0.636, 0.294, 68.2
2005, LG, 29, 79, 215, 194, 21, 46, 7, 3, 9, 86, 25, 3, 2, 3, 0, 53, 1, 9, 2, 0.237, 0.272, 0.443, 0.715, 0.304, 79.7
2006, LG, 30, 79, 240, 209, 26, 49, 4, 1, 3, 64, 18, 6, 3, 4, 1, 37, 4, 13, 1, 0.234, 0.291, 0.306, 0.597, 0.268, 62.2
2007, LG, 31, 121, 398, 349, 41, 84, 12, 3, 4, 114, 36, 11, 4, 4, 1, 67, 14, 16, 3, 0.241, 0.298, 0.327, 0.625, 0.283, 66.5
2008, LG, 32, 76, 230, 206, 15, 47, 6, 2, 1, 60, 14, 1, 2, 3, 0, 32, 5, 12, 3, 0.228, 0.257, 0.291, 0.548, 0.245, 38.3
2009, LG, 33, 128, 431, 381, 45, 94, 15, 3, 7, 136, 34, 5, 3, 7, 0, 67, 11, 13, 2, 0.247, 0.309, 0.357, 0.666, 0.296, 63.5
2010, LG|SK, 34, 61, 180, 154, 14, 35, 6, 1, 3, 52, 21, 2, 2, 1, 0, 34, 2, 9, 2, 0.227, 0.292, 0.338, 0.630, 0.278, 56.9
, SK, 34, 10, 16, 13, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 2, 0, 0.077, 0.143, 0.077, 0.220, 0.105, -59.5
, LG, 34, 51, 164, 141, 14, 34, 6, 1, 3, 51, 20, 2, 2, 1, 0, 31, 2, 7, 2, 0.241, 0.306, 0.362, 0.667, 0.295, 68.2
2011, SK, 35, 28, 68, 57, 8, 12, 3, 1, 1, 20, 10, 0, 1, 1, 0, 23, 0, 4, 0, 0.211, 0.297, 0.351, 0.648, 0.288, 67.4
2012, SK, 36, 3, 5, 5, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.200, 0.200, 0.200, 0.400, 0.191, 6.2
2013, LG, 37, 68, 122, 104, 19, 24, 6, 0, 4, 42, 13, 1, 0, 1, 0, 29, 1, 5, 0, 0.231, 0.316, 0.404, 0.720, 0.322, 85.9
2014, LG, 38, 8, 21, 17, 0, 2, 1, 0, 0, 3, 2, 0, 0, 0, 0, 5, 1, 2, 1, 0.118, 0.158, 0.176, 0.334, 0.140, -41.3
2015, 한화, 39, 115, 338, 294, 32, 65, 8, 1, 5, 90, 22, 3, 6, 9, 2, 84, 4, 16, 1, 0.221, 0.286, 0.306, 0.592, 0.261, 37.9
2016, 한화, 40, 40, 49, 44, 7, 11, 2, 1, 0, 15, 3, 0, 0, 2, 0, 12, 2, 1, 0, 0.250, 0.313, 0.341, 0.653, 0.300, 61.3
