year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, 두산, 19, 0, 0, 2, 0, 3, 0, 6, 51.1, 28, 27, 214, 45, , 5, 20, 0, 6, 44, 0, 2, 4.73, 4.09, 1.27, 87.4
2006, 두산, 20, 0, 0, 9, 3, 2, 0, 2, 58.0, 33, 30, 267, 51, , 2, 42, 0, 8, 42, 0, 9, 4.66, 4.29, 1.60, 76.8
2007, 두산, 21, 0, 0, 5, 1, 4, 0, 6, 59.0, 29, 26, 257, 57, , 2, 29, 0, 5, 43, 0, 2, 3.97, 3.54, 1.46, 97.5
2008, 두산, 22, 0, 0, 1, 2, 0, 0, 3, 59.1, 20, 15, 247, 54, , 1, 29, 0, 4, 49, 0, 6, 2.28, 3.39, 1.40, 179.9
2009, 두산, 23, 0, 0, 9, 7, 2, 0, 0, 83.1, 44, 41, 372, 74, , 7, 52, 0, 9, 55, 0, 3, 4.43, 5.16, 1.51, 107.3
2010, 넥센, 24, 1, 1, 23, 6, 11, 0, 0, 120.2, 63, 59, 544, 118, , 10, 71, 1, 15, 86, 0, 8, 4.40, 5.05, 1.57, 103.3
2011, 넥센, 25, 0, 0, 8, 2, 5, 0, 0, 32.1, 28, 19, 159, 31, , 3, 31, 0, 4, 16, 0, 1, 5.29, 6.66, 1.92, 77.7
2014, 넥센, 28, 0, 0, 11, 3, 5, 0, 0, 41.2, 35, 28, 208, 51, 1, 4, 30, 0, 7, 24, 0, 3, 6.05, 6.62, 1.94, 87.2
2015, 넥센, 29, 0, 0, 5, 1, 1, 0, 0, 22.0, 11, 11, 104, 25, 0, 2, 14, 0, 2, 11, 0, 0, 4.50, 5.98, 1.77, 110.6
2016, 넥센, 30, 0, 0, 2, 1, 1, 0, 0, 26.1, 16, 15, 125, 36, 1, 2, 9, 0, 1, 16, 0, 2, 5.13, 4.70, 1.71, 102.4
2017, 넥센, 31, 0, 0, 7, 4, 4, 0, 3, 54.0, 40, 38, 269, 81, 1, 3, 33, 0, 3, 42, 0, 2, 6.33, 4.90, 2.11, 78.5
2018, KT, 32, 0, 0, 29, 8, 12, 0, 0, 156.1, 104, 94, 720, 212, 1, 19, 68, 1, 7, 79, 0, 10, 5.41, 5.82, 1.79, 97.9
2019, KT, 33, 0, 0, 14, 1, 4, 0, 0, 57.0, 38, 32, 263, 66, 1, 5, 25, 0, 7, 26, 0, 4, 5.05, 5.31, 1.60, 82.5
2020, KT, 34, 0, 0, 0, 0, 0, 0, 0, 2.1, 4, 4, 15, 6, 0, 0, 1, 0, 2, 2, 0, 0, 15.43, 5.70, 3.00, 31.1
