year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 롯데, 23, 84, 263, 237, 39, 67, 15, 2, 6, 104, 28, 13, 4, 1, 0, 38, 2, 3, 4, 0.283, 0.331, 0.439, 0.770, 0.347, 120.2
1997, 롯데, 24, 122, 412, 356, 47, 97, 22, 3, 6, 143, 35, 13, 14, 2, 1, 73, 2, 10, 4, 0.272, 0.346, 0.402, 0.748, 0.333, 106.3
1998, 롯데, 25, 124, 527, 466, 79, 136, 29, 7, 5, 194, 40, 27, 9, 4, 2, 65, 6, 9, 0, 0.292, 0.363, 0.416, 0.779, 0.347, 116.9
1999, 롯데, 26, 131, 483, 415, 75, 102, 22, 3, 9, 157, 49, 16, 12, 7, 1, 70, 5, 21, 2, 0.246, 0.318, 0.378, 0.697, 0.299, 70.0
2000, 롯데, 27, 133, 534, 464, 72, 129, 27, 4, 6, 182, 47, 12, 11, 2, 3, 82, 5, 11, 4, 0.278, 0.352, 0.392, 0.744, 0.331, 93.3
2001, 롯데, 28, 130, 458, 404, 55, 115, 24, 2, 5, 158, 33, 9, 10, 1, 0, 75, 8, 16, 4, 0.285, 0.337, 0.391, 0.728, 0.324, 83.0
2002, 롯데, 29, 91, 332, 303, 36, 80, 12, 0, 3, 101, 21, 6, 3, 0, 2, 52, 4, 5, 1, 0.264, 0.315, 0.333, 0.648, 0.290, 73.1
2003, 롯데, 30, 48, 122, 106, 9, 21, 4, 0, 0, 25, 6, 0, 1, 2, 1, 18, 3, 3, 1, 0.198, 0.277, 0.236, 0.513, 0.239, 30.6
2004, 롯데|삼성, 31, 93, 233, 210, 32, 61, 10, 2, 2, 81, 25, 5, 1, 2, 1, 36, 3, 3, 3, 0.290, 0.339, 0.386, 0.725, 0.330, 93.5
, 삼성, 31, 45, 117, 104, 13, 31, 5, 0, 1, 39, 14, 2, 0, 1, 1, 20, 1, 1, 2, 0.298, 0.353, 0.375, 0.728, 0.334, 96.5
, 롯데, 31, 48, 116, 106, 19, 30, 5, 2, 1, 42, 11, 3, 1, 1, 0, 16, 2, 2, 1, 0.283, 0.325, 0.396, 0.721, 0.326, 90.4
2005, 삼성, 32, 61, 100, 86, 14, 27, 4, 0, 1, 34, 19, 0, 0, 3, 2, 21, 3, 1, 1, 0.314, 0.394, 0.395, 0.789, 0.361, 118.8
2006, 삼성, 33, 107, 269, 239, 18, 58, 6, 1, 2, 72, 23, 1, 1, 4, 0, 31, 4, 6, 3, 0.243, 0.300, 0.301, 0.602, 0.281, 72.5
2007, 삼성, 34, 69, 101, 86, 5, 17, 2, 0, 0, 19, 6, 0, 1, 2, 1, 12, 1, 2, 0, 0.198, 0.303, 0.221, 0.524, 0.256, 48.0
