year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 청보, 22, 87, 253, 230, 20, 57, 14, 1, 10, 103, 26, 1, 2, 3, 0, 48, 8, 1, 0, 0.248, 0.314, 0.448, 0.761, 0.356, 130.0
1987, 청보, 23, 105, 414, 350, 47, 97, 21, 0, 9, 145, 48, 3, 5, 4, 2, 55, 7, 8, 1, 0.277, 0.374, 0.414, 0.789, 0.367, 127.2
1988, 태평양, 24, 62, 248, 212, 41, 76, 18, 1, 10, 126, 39, 3, 0, 5, 4, 27, 3, 1, 2, 0.358, 0.441, 0.594, 1.036, 0.461, 191.9
1989, 태평양, 25, 120, 489, 399, 61, 100, 25, 1, 11, 160, 59, 7, 9, 7, 8, 86, 8, 2, 4, 0.251, 0.378, 0.401, 0.779, 0.367, 126.7
1990, 태평양, 26, 114, 394, 336, 52, 84, 20, 1, 14, 148, 46, 5, 3, 5, 3, 58, 6, 5, 0, 0.250, 0.352, 0.440, 0.793, 0.365, 123.0
1991, 태평양, 27, 98, 333, 286, 37, 75, 9, 1, 7, 107, 34, 9, 4, 4, 4, 50, 8, 5, 1, 0.262, 0.354, 0.374, 0.728, 0.335, 104.4
1992, 태평양, 28, 107, 391, 333, 53, 98, 15, 2, 15, 162, 58, 2, 1, 7, 1, 59, 13, 5, 0, 0.294, 0.391, 0.486, 0.878, 0.394, 138.0
1993, 태평양, 29, 93, 364, 315, 33, 77, 22, 1, 3, 110, 34, 1, 3, 6, 1, 67, 16, 2, 1, 0.244, 0.340, 0.349, 0.689, 0.328, 111.9
1994, 태평양, 30, 119, 421, 368, 49, 97, 16, 0, 15, 158, 50, 3, 6, 12, 4, 74, 15, 3, 0, 0.264, 0.352, 0.429, 0.781, 0.357, 126.1
1995, 태평양, 31, 66, 200, 173, 16, 30, 4, 1, 9, 63, 28, 1, 0, 5, 1, 38, 7, 3, 1, 0.173, 0.269, 0.364, 0.633, 0.285, 80.5
1996, 현대, 32, 48, 114, 99, 13, 21, 2, 0, 5, 38, 13, 0, 1, 2, 0, 21, 3, 0, 1, 0.212, 0.307, 0.384, 0.691, 0.321, 102.5
