year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2015, SK, 26, 23, 26, 24, 4, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0.167, 0.231, 0.167, 0.397, 0.200, 2.6
2016, SK, 27, 88, 170, 144, 17, 37, 9, 0, 2, 52, 14, 1, 1, 2, 0, 38, 2, 3, 0, 0.257, 0.359, 0.361, 0.720, 0.335, 85.2
2017, SK|KIA, 28, 137, 392, 352, 39, 78, 9, 2, 4, 103, 40, 3, 3, 5, 0, 55, 8, 7, 2, 0.222, 0.283, 0.293, 0.576, 0.263, 43.5
, SK, 28, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.7
, KIA, 28, 135, 391, 351, 39, 78, 9, 2, 4, 103, 40, 3, 3, 5, 0, 55, 8, 7, 2, 0.222, 0.284, 0.293, 0.577, 0.264, 43.9
2018, KIA, 29, 125, 365, 310, 53, 76, 9, 3, 6, 109, 37, 5, 2, 3, 0, 63, 8, 11, 2, 0.245, 0.333, 0.352, 0.685, 0.304, 71.1
2019, KIA, 30, 53, 116, 96, 6, 16, 2, 0, 0, 18, 14, 2, 0, 3, 0, 29, 1, 0, 2, 0.167, 0.293, 0.188, 0.481, 0.249, 41.9
2020, KIA, 31, 69, 237, 210, 22, 52, 6, 1, 2, 66, 21, 0, 0, 2, 0, 28, 3, 6, 2, 0.248, 0.307, 0.314, 0.622, 0.286, 61.0
2021, KIA, 32, 100, 301, 250, 30, 55, 8, 0, 3, 72, 26, 0, 0, 4, 1, 49, 2, 3, 3, 0.220, 0.336, 0.288, 0.624, 0.305, 75.7
2022, KIA|SSG, 33, 27, 71, 62, 9, 16, 2, 0, 1, 21, 6, 0, 0, 0, 0, 14, 1, 1, 1, 0.258, 0.329, 0.339, 0.667, 0.311, 97.3
, KIA, 33, 22, 62, 54, 7, 13, 2, 0, 1, 18, 6, 0, 0, 0, 0, 12, 1, 1, 1, 0.241, 0.312, 0.333, 0.645, 0.299, 89.4
, SSG, 33, 5, 9, 8, 2, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.375, 0.444, 0.375, 0.819, 0.394, 155.4
