year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 한화, 19, 31, 23, 20, 6, 4, 1, 0, 0, 5, 0, 1, 1, 0, 0, 8, 0, 1, 0, 0.200, 0.238, 0.250, 0.488, 0.212, 25.2
2000, 한화, 23, 52, 45, 44, 10, 12, 0, 0, 0, 12, 3, 4, 3, 0, 0, 13, 0, 0, 0, 0.273, 0.289, 0.273, 0.562, 0.264, 49.8
2001, 한화, 24, 129, 446, 392, 65, 114, 10, 3, 0, 130, 20, 42, 16, 2, 1, 67, 3, 4, 1, 0.291, 0.369, 0.332, 0.700, 0.334, 90.0
2002, 한화, 25, 126, 217, 199, 31, 40, 6, 0, 1, 49, 6, 21, 9, 2, 0, 40, 1, 6, 0, 0.201, 0.243, 0.246, 0.489, 0.220, 26.2
2003, 한화, 26, 128, 355, 312, 50, 79, 11, 5, 0, 100, 14, 26, 5, 2, 0, 57, 1, 6, 1, 0.253, 0.330, 0.321, 0.650, 0.301, 74.8
2004, 한화, 27, 115, 197, 170, 32, 42, 1, 0, 1, 46, 8, 17, 11, 0, 0, 26, 3, 12, 4, 0.247, 0.287, 0.271, 0.557, 0.249, 40.1
2005, 한화, 28, 111, 299, 273, 41, 69, 10, 2, 0, 83, 14, 9, 3, 1, 0, 46, 3, 4, 1, 0.253, 0.305, 0.304, 0.609, 0.285, 68.3
2006, 한화, 29, 109, 115, 106, 15, 22, 1, 0, 0, 23, 5, 5, 2, 0, 0, 18, 2, 2, 0, 0.208, 0.257, 0.217, 0.474, 0.228, 36.8
2007, 한화, 30, 31, 52, 44, 3, 8, 1, 0, 0, 9, 1, 1, 1, 0, 0, 9, 0, 3, 0, 0.182, 0.265, 0.205, 0.470, 0.223, 26.3
2008, 한화, 31, 9, 20, 18, 1, 3, 0, 0, 0, 3, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0.167, 0.250, 0.167, 0.417, 0.216, 21.1
