year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, 삼성, 19, 6, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.333, 0.000, 0.333, 0.234, 45.8
1996, 삼성, 20, 23, 75, 68, 7, 19, 11, 0, 0, 30, 10, 0, 1, 0, 0, 9, 3, 1, 0, 0.279, 0.338, 0.441, 0.779, 0.353, 124.2
1997, 삼성, 21, 17, 19, 17, 1, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 6, 1, 0, 0, 0.118, 0.211, 0.118, 0.328, 0.173, -0.9
1998, 삼성, 22, 6, 10, 8, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.250, 0.400, 0.250, 0.650, 0.325, 102.1
1999, 삼성, 23, 20, 25, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0.000, 0.200, 0.000, 0.200, 0.146, -29.3
2001, 삼성, 25, 7, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -127.3
2002, 삼성, 26, 12, 12, 11, 1, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0.182, 0.250, 0.182, 0.432, 0.214, 21.6
2003, 삼성, 27, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -131.2
2004, 삼성|롯데, 28, 59, 145, 126, 13, 28, 4, 0, 2, 38, 14, 0, 1, 1, 0, 31, 5, 2, 3, 0.222, 0.294, 0.302, 0.595, 0.278, 58.0
, 롯데, 28, 29, 90, 78, 6, 15, 2, 0, 0, 17, 5, 0, 1, 0, 0, 25, 2, 0, 2, 0.192, 0.278, 0.218, 0.496, 0.246, 36.0
, 삼성, 28, 30, 55, 48, 7, 13, 2, 0, 2, 21, 9, 0, 0, 1, 0, 6, 3, 2, 1, 0.271, 0.321, 0.438, 0.758, 0.330, 93.5
2005, 롯데, 29, 14, 19, 14, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.143, 0.368, 0.143, 0.511, 0.289, 69.1
2006, 롯데, 30, 50, 86, 70, 10, 20, 5, 0, 1, 28, 8, 0, 0, 1, 0, 14, 0, 1, 1, 0.286, 0.400, 0.400, 0.800, 0.374, 140.1
2007, 롯데, 31, 5, 7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0.000, 0.143, 0.000, 0.143, 0.103, 
