year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1985, MBC, 25, 0, 0, 0, 1, 2, 2, 0, 21.2, 9, 9, 93, 22, , 2, 7, 1, 0, 14, 0, 1, 3.74, 2.96, 1.34, 89.3
1986, MBC, 26, 0, 0, 3, 9, 9, 26, 0, 178.0, 40, 33, 694, 128, , 4, 59, 7, 3, 74, 0, 0, 1.67, 2.46, 1.05, 177.7
1987, MBC, 27, 0, 0, 1, 9, 5, 24, 0, 141.0, 34, 31, 560, 109, , 6, 36, 6, 4, 71, 0, 0, 1.98, 2.74, 1.03, 174.1
1988, MBC, 28, 1, 0, 3, 3, 5, 11, 0, 98.2, 51, 49, 438, 118, , 5, 31, 1, 3, 51, 0, 0, 4.47, 3.21, 1.51, 83.9
1989, MBC, 29, 0, 0, 1, 5, 5, 22, 0, 104.1, 43, 37, 429, 107, , 2, 29, 5, 3, 51, 1, 1, 3.19, 2.65, 1.30, 114.0
1990, LG, 30, 2, 0, 13, 12, 5, 5, 0, 149.2, 40, 34, 594, 122, , 4, 38, 1, 3, 119, 0, 0, 2.04, 2.13, 1.07, 183.6
1991, LG, 31, 8, 1, 16, 12, 11, 10, 0, 190.0, 71, 59, 788, 172, , 5, 62, 7, 8, 129, 2, 5, 2.79, 2.67, 1.23, 138.0
1992, LG, 32, 1, 0, 8, 5, 4, 0, 0, 61.0, 37, 35, 255, 62, , 5, 17, 0, 3, 27, 0, 2, 5.16, 3.94, 1.30, 80.8
1993, LG, 33, 0, 0, 0, 6, 2, 26, 0, 75.2, 16, 13, 293, 53, , 3, 20, 6, 2, 60, 0, 2, 1.55, 2.03, 0.97, 204.3
1994, LG, 34, 0, 0, 0, 5, 5, 30, 0, 63.1, 24, 18, 247, 46, , 1, 10, 1, 1, 44, 0, 0, 2.56, 2.10, 0.88, 142.5
1995, LG, 35, 0, 0, 0, 4, 2, 30, 0, 69.0, 12, 11, 270, 59, , 1, 10, 3, 1, 44, 0, 2, 1.43, 2.07, 1.00, 248.1
1996, LG, 36, 2, 1, 9, 16, 7, 9, 0, 130.2, 55, 41, 546, 123, , 6, 36, 7, 3, 92, 0, 1, 2.82, 2.71, 1.22, 126.6
1997, LG, 37, 2, 0, 28, 12, 8, 0, 0, 177.2, 82, 73, 733, 163, , 16, 43, 4, 8, 121, 0, 3, 3.70, 3.48, 1.16, 105.1
1998, LG, 38, 1, 0, 25, 18, 6, 2, 0, 175.0, 74, 67, 742, 176, , 11, 45, 3, 7, 116, 0, 2, 3.45, 3.23, 1.26, 112.3
1999, LG, 39, 0, 0, 3, 3, 9, 26, 0, 68.2, 23, 22, 289, 70, , 5, 13, 1, 3, 48, 0, 4, 2.88, 3.48, 1.21, 168.6
2000, LG, 40, 0, 0, 19, 6, 4, 4, 1, 127.0, 83, 74, 556, 142, , 10, 42, 2, 9, 85, 0, 4, 5.24, 4.00, 1.45, 85.3
