year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2008, 두산|LG, 23, 18, 32, 26, 8, 4, 0, 0, 0, 4, 1, 1, 0, 2, 0, 5, 0, 0, 0, 0.154, 0.313, 0.154, 0.466, 0.258, 47.0
, 두산, 23, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
, LG, 23, 13, 32, 26, 8, 4, 0, 0, 0, 4, 1, 1, 0, 2, 0, 5, 0, 0, 0, 0.154, 0.313, 0.154, 0.466, 0.258, 47.0
2012, LG, 27, 83, 219, 194, 22, 48, 4, 0, 2, 58, 21, 5, 4, 0, 1, 50, 1, 5, 3, 0.247, 0.304, 0.299, 0.603, 0.282, 70.1
2013, LG, 28, 109, 348, 301, 42, 83, 6, 5, 5, 114, 34, 21, 7, 0, 2, 58, 6, 10, 3, 0.276, 0.346, 0.379, 0.725, 0.330, 91.8
2014, LG, 29, 103, 208, 183, 31, 44, 7, 1, 0, 53, 22, 9, 7, 2, 0, 46, 2, 3, 1, 0.240, 0.317, 0.290, 0.607, 0.288, 55.0
2015, LG, 30, 71, 199, 171, 30, 43, 5, 1, 0, 50, 15, 11, 6, 3, 1, 38, 3, 3, 0, 0.251, 0.347, 0.292, 0.639, 0.304, 69.8
2016, LG, 31, 105, 347, 308, 62, 98, 18, 4, 1, 127, 20, 19, 7, 0, 0, 64, 6, 4, 0, 0.318, 0.388, 0.412, 0.800, 0.369, 104.7
2017, LG, 32, 60, 189, 164, 17, 44, 6, 2, 0, 54, 8, 9, 4, 0, 0, 49, 2, 6, 0, 0.268, 0.344, 0.329, 0.674, 0.306, 71.9
2018, LG, 33, 114, 185, 159, 28, 37, 2, 0, 0, 39, 13, 10, 1, 0, 1, 32, 1, 7, 3, 0.233, 0.298, 0.245, 0.543, 0.248, 33.0
2019, LG, 34, 114, 210, 179, 35, 39, 5, 3, 0, 50, 17, 8, 3, 2, 1, 38, 1, 4, 1, 0.218, 0.316, 0.279, 0.595, 0.282, 65.3
2020, LG, 35, 101, 75, 70, 28, 19, 1, 1, 1, 25, 12, 7, 3, 0, 0, 15, 2, 1, 1, 0.271, 0.297, 0.357, 0.654, 0.295, 69.6
2021, LG, 36, 102, 41, 27, 19, 4, 2, 0, 0, 6, 2, 6, 0, 0, 0, 5, 1, 4, 1, 0.148, 0.351, 0.222, 0.574, 0.273, 57.4
