year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1982, 롯데, 25, 71, 300, 253, 39, 76, 13, 0, 10, 119, 39, 6, 7, 4, 2, 30, 6, 0, 2, 0.300, 0.403, 0.470, 0.874, 0.397, 142.5
1983, 롯데, 26, 97, 374, 327, 47, 92, 21, 2, 14, 159, 38, 8, 2, 1, 0, 47, 4, 4, 4, 0.281, 0.354, 0.486, 0.840, 0.379, 143.3
1984, 롯데, 27, 97, 396, 346, 61, 113, 24, 2, 21, 204, 67, 8, 5, 4, 2, 50, 6, 4, 3, 0.327, 0.398, 0.590, 0.988, 0.441, 188.2
1985, 롯데, 28, 106, 417, 367, 27, 82, 16, 1, 7, 121, 36, 7, 4, 1, 0, 45, 9, 6, 7, 0.223, 0.290, 0.330, 0.619, 0.287, 72.3
1986, 롯데, 29, 102, 409, 365, 43, 105, 26, 1, 10, 163, 57, 13, 7, 4, 3, 39, 18, 2, 3, 0.288, 0.354, 0.447, 0.800, 0.372, 143.8
1987, 롯데, 30, 103, 428, 382, 49, 120, 32, 2, 7, 177, 59, 11, 8, 3, 6, 33, 12, 0, 1, 0.314, 0.386, 0.463, 0.849, 0.395, 147.4
1988, 롯데, 31, 102, 422, 380, 65, 111, 21, 2, 18, 190, 69, 15, 4, 4, 3, 26, 13, 1, 1, 0.292, 0.356, 0.500, 0.856, 0.385, 139.7
1989, 삼성, 32, 103, 382, 342, 60, 104, 18, 0, 11, 155, 64, 3, 5, 2, 0, 38, 10, 1, 5, 0.304, 0.362, 0.453, 0.815, 0.382, 136.3
1990, 삼성, 33, 84, 294, 268, 40, 69, 13, 0, 12, 118, 58, 1, 0, 0, 0, 25, 12, 0, 2, 0.257, 0.316, 0.440, 0.757, 0.351, 113.0
1991, 삼성, 34, 108, 307, 268, 32, 67, 8, 0, 15, 120, 46, 2, 0, 5, 1, 37, 13, 0, 2, 0.250, 0.339, 0.448, 0.787, 0.360, 120.8
1992, 삼성, 35, 51, 136, 117, 16, 29, 0, 0, 6, 47, 22, 0, 0, 1, 1, 12, 6, 1, 1, 0.248, 0.341, 0.402, 0.743, 0.337, 100.2
