year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 롯데, 22, 49, 98, 87, 11, 16, 3, 0, 0, 19, 2, 2, 4, 1, 0, 19, 3, 4, 0, 0.184, 0.245, 0.218, 0.463, 0.222, 28.8
1990, 태평양, 23, 94, 290, 252, 36, 63, 13, 4, 4, 96, 31, 10, 4, 3, 0, 23, 4, 7, 3, 0.250, 0.322, 0.381, 0.703, 0.324, 94.7
1991, 태평양, 24, 60, 167, 151, 10, 29, 5, 0, 1, 37, 12, 5, 3, 2, 0, 30, 6, 2, 1, 0.192, 0.255, 0.245, 0.500, 0.240, 38.5
1992, 태평양, 25, 58, 126, 108, 15, 24, 8, 1, 3, 43, 12, 2, 1, 0, 0, 24, 3, 4, 0, 0.222, 0.312, 0.398, 0.710, 0.315, 85.0
1993, 태평양, 26, 72, 226, 203, 19, 45, 6, 1, 3, 62, 10, 1, 3, 0, 0, 42, 4, 4, 1, 0.222, 0.284, 0.305, 0.589, 0.278, 74.9
1994, 태평양, 27, 105, 360, 304, 40, 71, 12, 1, 6, 103, 32, 8, 10, 3, 0, 57, 8, 25, 2, 0.234, 0.299, 0.339, 0.637, 0.279, 72.5
1995, 태평양, 28, 88, 305, 273, 35, 64, 6, 2, 7, 95, 25, 9, 5, 2, 0, 44, 3, 3, 2, 0.234, 0.301, 0.348, 0.649, 0.298, 89.9
1996, 현대, 29, 122, 499, 406, 72, 92, 17, 3, 11, 148, 37, 25, 13, 15, 0, 65, 3, 21, 2, 0.227, 0.339, 0.365, 0.703, 0.318, 100.7
1997, 현대, 30, 56, 226, 189, 29, 47, 7, 1, 1, 59, 11, 9, 6, 7, 1, 36, 3, 6, 0, 0.249, 0.355, 0.312, 0.667, 0.310, 90.8
1998, 현대, 31, 41, 85, 74, 13, 17, 2, 0, 1, 22, 8, 2, 2, 2, 0, 16, 1, 3, 1, 0.230, 0.293, 0.297, 0.590, 0.265, 59.9
1999, 현대, 32, 113, 356, 293, 53, 75, 14, 0, 7, 110, 43, 13, 4, 12, 0, 44, 7, 15, 1, 0.256, 0.358, 0.375, 0.733, 0.323, 85.6
2000, 현대, 33, 115, 324, 281, 48, 64, 17, 2, 3, 94, 21, 8, 4, 3, 0, 44, 6, 9, 1, 0.228, 0.308, 0.335, 0.643, 0.289, 64.5
2001, 현대, 34, 92, 190, 162, 30, 33, 0, 1, 5, 50, 19, 5, 5, 1, 0, 34, 5, 5, 0, 0.204, 0.303, 0.309, 0.611, 0.284, 56.2
