year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1999, 현대, 21, 15, 27, 25, 5, 10, 2, 0, 0, 12, 2, 1, 2, 1, 0, 5, 1, 0, 0, 0.400, 0.444, 0.480, 0.924, 0.421, 151.2
2000, 현대, 22, 16, 32, 31, 6, 8, 1, 0, 1, 12, 1, 1, 0, 0, 0, 11, 0, 1, 0, 0.258, 0.258, 0.387, 0.645, 0.275, 55.0
2001, 현대, 23, 11, 15, 15, 3, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 3, 2, 0, 0, 0.133, 0.133, 0.133, 0.267, 0.126, -48.9
2002, 현대, 24, 57, 91, 80, 9, 17, 2, 1, 2, 27, 7, 1, 0, 2, 0, 16, 2, 2, 1, 0.213, 0.281, 0.338, 0.618, 0.273, 61.6
2003, 현대, 25, 80, 72, 64, 9, 14, 2, 0, 2, 22, 4, 1, 3, 4, 0, 20, 0, 3, 0, 0.219, 0.275, 0.344, 0.619, 0.273, 55.0
2004, 현대, 26, 83, 140, 122, 19, 27, 2, 0, 0, 29, 9, 3, 1, 2, 0, 28, 2, 4, 0, 0.221, 0.302, 0.238, 0.539, 0.261, 46.5
2005, 현대, 27, 55, 121, 101, 14, 23, 4, 1, 1, 32, 3, 4, 0, 2, 0, 25, 2, 3, 0, 0.228, 0.339, 0.317, 0.656, 0.308, 83.2
2007, 현대, 29, 117, 444, 376, 44, 93, 11, 1, 3, 115, 26, 9, 3, 6, 0, 56, 11, 36, 1, 0.247, 0.304, 0.306, 0.610, 0.269, 57.6
2008, 히어로즈, 30, 70, 187, 166, 16, 45, 9, 0, 2, 60, 13, 5, 3, 1, 0, 34, 5, 6, 0, 0.271, 0.332, 0.361, 0.693, 0.319, 89.3
2009, 히어로즈, 31, 107, 309, 265, 44, 68, 14, 1, 2, 90, 20, 30, 12, 3, 0, 60, 5, 13, 1, 0.257, 0.331, 0.340, 0.671, 0.301, 67.1
2010, 넥센, 32, 104, 220, 195, 30, 49, 13, 1, 4, 76, 21, 21, 6, 4, 0, 42, 2, 12, 1, 0.251, 0.293, 0.390, 0.683, 0.294, 67.6
2011, 넥센, 33, 41, 48, 47, 11, 12, 0, 0, 0, 12, 0, 9, 7, 0, 0, 13, 1, 0, 0, 0.255, 0.271, 0.255, 0.526, 0.254, 44.1
2012, LG, 34, 44, 94, 82, 10, 18, 2, 0, 1, 23, 12, 4, 1, 0, 0, 18, 2, 3, 0, 0.220, 0.297, 0.280, 0.577, 0.273, 64.1
