year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, SK, 20, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
2008, SK, 21, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.3
2012, SK, 25, 84, 93, 89, 22, 19, 4, 0, 0, 23, 5, 12, 5, 0, 0, 18, 2, 4, 0, 0.213, 0.214, 0.258, 0.472, 0.212, 21.1
2013, SK, 26, 33, 42, 36, 12, 10, 2, 1, 0, 14, 6, 11, 2, 0, 0, 8, 1, 1, 1, 0.278, 0.342, 0.389, 0.730, 0.332, 93.3
2014, SK, 27, 60, 28, 25, 12, 5, 1, 0, 0, 6, 6, 8, 1, 2, 0, 10, 0, 0, 1, 0.200, 0.250, 0.240, 0.490, 0.234, 24.5
2015, SK, 28, 46, 20, 19, 13, 2, 0, 1, 0, 4, 0, 7, 1, 1, 0, 6, 0, 0, 0, 0.105, 0.150, 0.211, 0.361, 0.164, -20.3
2016, SK, 29, 100, 193, 168, 27, 54, 5, 5, 1, 72, 18, 13, 7, 5, 0, 41, 1, 8, 1, 0.321, 0.378, 0.429, 0.807, 0.356, 100.7
2017, SK, 30, 14, 4, 4, 3, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.7
2018, SK, 31, 53, 77, 65, 19, 18, 1, 1, 1, 24, 5, 7, 1, 3, 0, 17, 0, 0, 0, 0.277, 0.390, 0.369, 0.759, 0.353, 102.6
2019, SK, 32, 83, 49, 42, 29, 12, 2, 1, 0, 16, 2, 13, 6, 0, 0, 11, 0, 3, 0, 0.286, 0.348, 0.381, 0.729, 0.320, 93.9
2020, SK, 33, 8, 14, 14, 3, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0.143, 0.143, 0.143, 0.286, 0.135, -37.6
