year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, LG, 23, 61, 74, 67, 5, 17, 4, 0, 0, 21, 5, 0, 1, 1, 0, 13, 2, 2, 1, 0.254, 0.292, 0.313, 0.605, 0.280, 75.9
1994, LG, 24, 57, 136, 121, 12, 34, 5, 1, 3, 50, 17, 0, 3, 1, 0, 21, 2, 4, 0, 0.281, 0.341, 0.413, 0.754, 0.340, 115.2
1995, LG, 25, 23, 23, 21, 2, 4, 0, 0, 0, 4, 1, 0, 0, 0, 0, 5, 0, 2, 0, 0.190, 0.191, 0.190, 0.381, 0.163, -9.5
1996, LG, 26, 25, 72, 62, 11, 20, 2, 0, 1, 25, 7, 1, 0, 2, 0, 6, 1, 3, 0, 0.323, 0.391, 0.403, 0.795, 0.359, 130.2
1997, LG, 27, 7, 18, 18, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.222, 0.222, 0.222, 0.444, 0.207, 17.0
1998, LG, 28, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, , 1.000, , , 0.733, 
1999, LG, 29, 55, 117, 103, 11, 24, 5, 1, 1, 34, 9, 0, 0, 0, 0, 22, 1, 5, 1, 0.233, 0.286, 0.330, 0.616, 0.267, 47.1
2000, LG, 30, 102, 242, 202, 18, 48, 9, 1, 2, 65, 22, 2, 1, 3, 0, 35, 3, 13, 4, 0.238, 0.310, 0.322, 0.632, 0.277, 56.0
2001, LG, 31, 61, 122, 108, 8, 28, 4, 1, 0, 34, 12, 0, 0, 1, 0, 27, 2, 6, 0, 0.259, 0.310, 0.315, 0.625, 0.282, 54.1
2002, LG, 32, 32, 39, 37, 3, 8, 3, 0, 0, 11, 4, 0, 0, 0, 0, 13, 1, 0, 0, 0.216, 0.256, 0.297, 0.554, 0.252, 45.2
2003, LG, 33, 9, 9, 9, 0, 3, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.333, 0.333, 0.444, 0.778, 0.351, 109.2
2004, LG, 34, 61, 105, 97, 10, 26, 3, 0, 1, 32, 15, 0, 1, 1, 0, 23, 1, 3, 3, 0.268, 0.275, 0.330, 0.604, 0.269, 50.7
2005, LG, 35, 79, 211, 186, 19, 51, 9, 0, 5, 75, 29, 0, 2, 6, 0, 20, 8, 10, 2, 0.274, 0.318, 0.403, 0.722, 0.315, 87.5
2006, LG, 36, 26, 22, 21, 3, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 4, 1, 0, 0, 0.048, 0.091, 0.048, 0.139, 0.077, -77.2
2008, LG, 38, 71, 178, 155, 11, 47, 6, 0, 1, 56, 17, 1, 1, 3, 0, 21, 2, 5, 1, 0.303, 0.370, 0.361, 0.731, 0.341, 104.4
2009, LG, 39, 26, 74, 50, 8, 16, 2, 0, 0, 18, 4, 0, 1, 1, 0, 7, 1, 10, 1, 0.320, 0.453, 0.360, 0.813, 0.340, 93.4
