year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 해태, 23, 126, 481, 428, 52, 92, 21, 2, 11, 150, 51, 22, 4, 6, 1, 104, 5, 5, 5, 0.215, 0.284, 0.350, 0.634, 0.291, 81.7
1997, 해태, 24, 126, 433, 371, 52, 78, 15, 0, 9, 120, 35, 13, 4, 2, 1, 74, 8, 20, 3, 0.210, 0.283, 0.323, 0.607, 0.268, 61.9
1998, 해태, 25, 42, 139, 125, 15, 29, 2, 1, 2, 39, 11, 8, 2, 4, 0, 21, 5, 2, 1, 0.232, 0.292, 0.312, 0.604, 0.276, 67.8
1999, 해태, 26, 2, 5, 3, 2, 1, 0, 0, 1, 4, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0.333, 0.600, 1.333, 1.933, 0.668, 310.5
2000, 해태, 27, 86, 258, 228, 26, 59, 11, 1, 2, 78, 31, 15, 4, 3, 0, 42, 4, 2, 4, 0.259, 0.324, 0.342, 0.666, 0.305, 76.4
2001, 해태/KIA, 28, 101, 416, 361, 63, 103, 15, 3, 4, 136, 25, 21, 12, 5, 0, 56, 5, 7, 3, 0.285, 0.362, 0.377, 0.739, 0.341, 94.4
2002, KIA, 29, 133, 595, 527, 95, 151, 26, 3, 8, 207, 53, 50, 9, 3, 0, 116, 5, 3, 1, 0.287, 0.363, 0.393, 0.756, 0.343, 109.8
2003, KIA, 30, 125, 539, 464, 67, 116, 23, 1, 6, 159, 46, 31, 11, 4, 0, 67, 3, 14, 3, 0.250, 0.330, 0.343, 0.673, 0.305, 77.4
2004, KIA, 31, 133, 562, 491, 66, 130, 20, 1, 10, 182, 46, 39, 8, 5, 0, 81, 10, 18, 2, 0.265, 0.333, 0.371, 0.703, 0.319, 85.9
2005, KIA, 32, 117, 429, 374, 39, 88, 15, 3, 4, 121, 40, 11, 5, 3, 0, 68, 7, 10, 5, 0.235, 0.306, 0.324, 0.629, 0.289, 69.9
2006, KIA, 33, 111, 369, 323, 35, 73, 17, 1, 1, 95, 26, 16, 5, 3, 0, 59, 6, 16, 2, 0.226, 0.286, 0.294, 0.580, 0.266, 61.3
2007, KIA, 34, 93, 342, 288, 47, 69, 13, 0, 6, 100, 28, 13, 3, 6, 0, 39, 13, 6, 2, 0.240, 0.342, 0.347, 0.690, 0.324, 96.0
2008, KIA, 35, 113, 346, 300, 33, 70, 16, 3, 1, 95, 26, 13, 3, 2, 0, 57, 5, 10, 1, 0.233, 0.313, 0.317, 0.629, 0.294, 71.9
2009, KIA, 36, 51, 123, 108, 12, 27, 4, 0, 1, 34, 9, 2, 0, 0, 0, 12, 1, 3, 2, 0.250, 0.308, 0.315, 0.623, 0.284, 54.6
