year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, OB, 18, 39, 62, 53, 3, 12, 2, 0, 0, 14, 11, 0, 1, 0, 0, 16, 0, 0, 3, 0.226, 0.290, 0.264, 0.555, 0.270, 59.8
1990, OB, 19, 62, 90, 80, 7, 18, 5, 0, 0, 23, 5, 1, 0, 0, 0, 15, 2, 0, 2, 0.225, 0.289, 0.288, 0.576, 0.279, 63.5
1991, OB, 20, 83, 184, 163, 18, 45, 8, 3, 3, 68, 25, 6, 2, 0, 0, 17, 1, 0, 2, 0.276, 0.348, 0.417, 0.765, 0.354, 117.6
1992, OB, 21, 53, 131, 115, 16, 28, 5, 0, 4, 45, 16, 3, 3, 0, 0, 17, 3, 0, 0, 0.243, 0.336, 0.391, 0.727, 0.337, 100.3
1993, OB, 22, 70, 159, 141, 14, 27, 3, 1, 1, 35, 16, 2, 3, 1, 1, 25, 7, 2, 2, 0.191, 0.261, 0.248, 0.509, 0.242, 46.8
1994, OB, 23, 104, 411, 369, 47, 104, 24, 2, 5, 147, 64, 6, 3, 4, 4, 33, 11, 0, 8, 0.282, 0.336, 0.398, 0.734, 0.335, 111.9
1995, OB, 24, 116, 433, 395, 63, 118, 26, 8, 4, 172, 56, 5, 1, 2, 5, 41, 12, 2, 1, 0.299, 0.355, 0.435, 0.790, 0.356, 131.2
1996, OB, 25, 56, 192, 175, 18, 42, 6, 2, 1, 55, 16, 0, 0, 0, 2, 22, 6, 1, 2, 0.240, 0.293, 0.314, 0.608, 0.279, 72.5
1997, OB, 26, 5, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.000, 0.200, 0.000, 0.200, 0.142, -29.2
1999, 두산, 28, 14, 25, 20, 4, 4, 1, 0, 1, 8, 2, 0, 0, 0, 0, 6, 1, 0, 0, 0.200, 0.360, 0.400, 0.760, 0.345, 100.0
2000, 두산|한화, 29, 80, 210, 174, 24, 46, 8, 0, 8, 78, 27, 1, 3, 4, 0, 38, 5, 0, 2, 0.264, 0.381, 0.448, 0.829, 0.373, 121.3
, 한화, 29, 80, 211, 175, 24, 46, 8, 0, 8, 78, 27, 1, 3, 4, 0, 38, 5, 0, 2, 0.263, 0.379, 0.446, 0.825, 0.372, 120.1
, 두산, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
2001, 한화, 30, 116, 445, 390, 66, 123, 22, 2, 16, 197, 65, 4, 1, 1, 1, 78, 9, 0, 5, 0.315, 0.389, 0.505, 0.894, 0.400, 132.2
2002, 한화, 31, 77, 209, 186, 21, 35, 9, 0, 2, 50, 14, 4, 4, 0, 1, 41, 6, 0, 1, 0.188, 0.273, 0.269, 0.542, 0.251, 47.5
2003, 한화, 32, 78, 182, 152, 11, 36, 6, 0, 3, 51, 17, 0, 3, 1, 2, 36, 6, 1, 0, 0.237, 0.359, 0.336, 0.695, 0.324, 90.7
2004, 한화, 33, 21, 37, 31, 2, 6, 3, 0, 0, 9, 2, 0, 0, 0, 0, 11, 0, 0, 0, 0.194, 0.324, 0.290, 0.615, 0.301, 74.1
