year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1997, 해태, 24, 102, 350, 315, 41, 83, 20, 1, 9, 132, 43, 2, 2, 5, 2, 50, 7, 2, 1, 0.263, 0.331, 0.419, 0.750, 0.337, 109.1
1998, 해태, 25, 124, 500, 439, 49, 117, 23, 1, 12, 178, 64, 5, 2, 7, 6, 71, 13, 5, 3, 0.267, 0.343, 0.405, 0.749, 0.332, 106.6
1999, 해태, 26, 117, 412, 341, 55, 89, 12, 0, 10, 131, 39, 5, 5, 7, 1, 58, 6, 7, 0, 0.261, 0.378, 0.384, 0.762, 0.345, 100.1
2000, 해태, 27, 97, 307, 250, 36, 59, 8, 1, 5, 84, 37, 3, 3, 5, 2, 67, 7, 3, 1, 0.236, 0.368, 0.336, 0.704, 0.329, 92.2
2001, 해태/KIA, 28, 88, 271, 232, 28, 65, 10, 0, 5, 90, 25, 3, 5, 3, 0, 64, 7, 3, 1, 0.280, 0.373, 0.388, 0.761, 0.354, 102.7
2002, KIA, 29, 114, 350, 310, 28, 67, 12, 0, 5, 94, 35, 4, 0, 4, 0, 79, 15, 4, 5, 0.216, 0.283, 0.303, 0.587, 0.266, 56.7
2003, 두산, 30, 121, 328, 288, 36, 79, 12, 2, 3, 104, 36, 5, 3, 2, 0, 36, 14, 8, 3, 0.274, 0.338, 0.361, 0.699, 0.315, 83.9
2004, 두산, 31, 110, 344, 301, 37, 83, 17, 1, 4, 114, 31, 2, 3, 9, 1, 53, 13, 6, 0, 0.276, 0.355, 0.379, 0.734, 0.339, 99.4
2005, 두산, 32, 84, 270, 221, 26, 60, 9, 0, 3, 78, 35, 4, 2, 5, 1, 41, 3, 6, 3, 0.271, 0.379, 0.353, 0.732, 0.340, 105.0
2006, 삼성, 33, 114, 351, 307, 35, 68, 12, 1, 8, 106, 38, 6, 2, 9, 0, 51, 7, 7, 3, 0.222, 0.297, 0.345, 0.642, 0.297, 84.0
2007, 삼성, 34, 100, 284, 251, 20, 62, 14, 2, 3, 89, 22, 2, 4, 5, 0, 34, 6, 9, 2, 0.247, 0.306, 0.355, 0.660, 0.300, 79.0
2008, 삼성, 35, 103, 264, 227, 29, 64, 13, 0, 1, 80, 19, 2, 1, 6, 0, 35, 9, 4, 0, 0.282, 0.373, 0.352, 0.726, 0.346, 107.6
2009, 삼성, 36, 71, 144, 126, 7, 30, 5, 0, 0, 35, 14, 1, 2, 3, 0, 18, 4, 1, 1, 0.238, 0.322, 0.278, 0.600, 0.289, 59.2
