year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2008, LG, 19, 6, 3, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.333, 0.333, 0.333, 0.667, 0.318, 88.6
2009, LG, 20, 54, 118, 108, 7, 27, 2, 1, 0, 31, 5, 0, 0, 1, 0, 18, 4, 7, 0, 0.250, 0.270, 0.287, 0.557, 0.244, 27.9
2010, LG, 21, 50, 57, 51, 2, 13, 1, 0, 0, 14, 6, 0, 0, 1, 0, 9, 1, 3, 0, 0.255, 0.296, 0.275, 0.571, 0.261, 45.3
2011, LG, 22, 38, 53, 47, 4, 11, 0, 0, 0, 11, 1, 0, 0, 0, 0, 4, 2, 2, 0, 0.234, 0.294, 0.234, 0.528, 0.253, 43.6
2012, LG, 23, 100, 175, 149, 7, 30, 2, 0, 0, 32, 14, 0, 0, 5, 0, 24, 6, 13, 0, 0.201, 0.265, 0.215, 0.480, 0.223, 28.6
2013, NC, 24, 112, 315, 277, 21, 59, 5, 0, 4, 76, 28, 0, 2, 7, 0, 57, 10, 11, 1, 0.213, 0.280, 0.274, 0.554, 0.261, 44.4
2014, NC, 25, 109, 322, 294, 28, 77, 13, 0, 0, 90, 23, 0, 1, 4, 0, 47, 9, 9, 3, 0.262, 0.297, 0.306, 0.603, 0.275, 46.1
2015, NC, 26, 144, 474, 421, 45, 107, 24, 0, 6, 149, 52, 1, 1, 10, 0, 77, 12, 11, 7, 0.254, 0.307, 0.354, 0.661, 0.295, 64.8
2016, NC, 27, 134, 395, 340, 37, 79, 15, 0, 1, 97, 30, 0, 0, 9, 0, 44, 14, 20, 4, 0.232, 0.293, 0.285, 0.579, 0.263, 38.8
2017, NC, 28, 132, 420, 362, 33, 96, 19, 0, 3, 124, 34, 0, 1, 22, 0, 43, 11, 18, 2, 0.265, 0.333, 0.343, 0.676, 0.301, 69.5
2019, NC, 30, 18, 28, 22, 0, 4, 0, 0, 0, 4, 1, 0, 0, 2, 0, 8, 1, 0, 0, 0.182, 0.357, 0.182, 0.539, 0.292, 70.5
2020, NC, 31, 80, 131, 113, 16, 33, 6, 0, 1, 42, 18, 0, 0, 4, 0, 14, 3, 7, 1, 0.292, 0.347, 0.372, 0.719, 0.318, 82.6
2021, NC, 32, 102, 276, 232, 23, 51, 7, 0, 7, 79, 24, 0, 1, 11, 0, 30, 4, 9, 3, 0.220, 0.311, 0.341, 0.651, 0.301, 72.8
2022, 삼성, 33, 26, 72, 63, 8, 26, 8, 0, 0, 34, 11, 0, 0, 1, 0, 11, 0, 2, 1, 0.413, 0.457, 0.540, 0.997, 0.445, 193.6
