year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, 삼성, 23, 65, 160, 139, 10, 34, 8, 0, 2, 48, 17, 1, 0, 3, 1, 29, 7, 5, 2, 0.245, 0.310, 0.345, 0.655, 0.295, 83.9
1995, 삼성, 24, 69, 129, 117, 10, 19, 3, 0, 0, 22, 8, 2, 2, 3, 0, 25, 2, 2, 0, 0.162, 0.228, 0.188, 0.416, 0.202, 23.9
1996, 삼성, 25, 106, 259, 217, 24, 49, 5, 0, 6, 72, 21, 4, 1, 2, 1, 56, 3, 7, 3, 0.226, 0.321, 0.332, 0.653, 0.300, 88.1
1997, 삼성, 26, 115, 412, 349, 64, 90, 23, 1, 16, 163, 62, 5, 9, 6, 0, 62, 9, 9, 3, 0.258, 0.350, 0.467, 0.817, 0.359, 123.6
1998, 삼성, 27, 109, 351, 303, 29, 61, 6, 1, 8, 93, 33, 3, 2, 4, 2, 73, 8, 5, 3, 0.201, 0.292, 0.307, 0.599, 0.272, 66.1
1999, 삼성, 28, 125, 477, 394, 43, 96, 14, 1, 12, 148, 53, 4, 0, 6, 1, 107, 10, 16, 4, 0.244, 0.345, 0.376, 0.721, 0.317, 81.6
2000, 삼성, 29, 127, 446, 396, 43, 95, 20, 1, 4, 129, 36, 5, 2, 4, 1, 87, 15, 12, 3, 0.240, 0.300, 0.326, 0.625, 0.280, 60.3
2001, 삼성, 30, 61, 136, 118, 14, 24, 5, 0, 0, 29, 8, 0, 1, 2, 0, 30, 3, 5, 0, 0.203, 0.282, 0.246, 0.528, 0.250, 35.5
2002, 삼성|롯데, 31, 67, 164, 145, 11, 28, 7, 0, 3, 44, 16, 1, 2, 2, 0, 46, 2, 3, 0, 0.193, 0.273, 0.303, 0.577, 0.261, 52.4
, 삼성, 31, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
, 롯데, 31, 65, 163, 144, 11, 28, 7, 0, 3, 44, 16, 1, 2, 2, 0, 45, 2, 3, 0, 0.194, 0.275, 0.306, 0.581, 0.262, 53.5
2003, 롯데, 32, 101, 264, 231, 15, 50, 11, 0, 3, 70, 32, 3, 0, 4, 0, 59, 4, 8, 5, 0.216, 0.273, 0.303, 0.577, 0.259, 44.2
2004, 롯데, 33, 40, 83, 78, 9, 19, 2, 0, 3, 30, 10, 0, 0, 1, 0, 23, 3, 1, 1, 0.244, 0.268, 0.385, 0.653, 0.291, 66.9
2005, SK, 34, 110, 272, 232, 24, 55, 11, 1, 5, 83, 22, 1, 0, 3, 0, 57, 3, 18, 1, 0.237, 0.299, 0.358, 0.657, 0.284, 65.9
2006, SK, 35, 116, 261, 219, 21, 49, 7, 1, 1, 61, 14, 1, 2, 3, 0, 54, 3, 17, 2, 0.224, 0.295, 0.279, 0.574, 0.259, 55.6
2007, SK, 36, 23, 25, 23, 0, 4, 0, 0, 0, 4, 3, 0, 0, 0, 0, 7, 1, 0, 0, 0.174, 0.240, 0.174, 0.414, 0.210, 12.6
