year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2015, NC, 20, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.4
2016, NC, 21, 2, 2, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.500, 0.500, 0.500, 1.000, 0.472, 177.0
2018, NC, 23, 20, 35, 31, 5, 11, 0, 0, 1, 14, 3, 1, 2, 0, 0, 5, 0, 1, 0, 0.355, 0.412, 0.452, 0.863, 0.378, 121.2
2019, NC, 24, 123, 399, 374, 44, 103, 14, 5, 5, 142, 46, 12, 4, 1, 0, 67, 3, 5, 3, 0.275, 0.305, 0.380, 0.684, 0.311, 82.6
2020, NC|KIA, 25, 82, 280, 263, 28, 62, 5, 1, 1, 72, 23, 7, 4, 1, 0, 45, 2, 2, 1, 0.236, 0.273, 0.274, 0.547, 0.258, 42.4
, KIA, 25, 45, 192, 180, 18, 44, 4, 0, 0, 48, 17, 5, 2, 1, 0, 23, 2, 1, 1, 0.244, 0.283, 0.267, 0.549, 0.261, 44.7
, NC, 25, 37, 88, 83, 10, 18, 1, 1, 1, 24, 6, 2, 2, 0, 0, 22, 0, 1, 0, 0.217, 0.253, 0.289, 0.542, 0.249, 36.7
2021, KIA, 26, 99, 414, 381, 43, 105, 12, 5, 1, 130, 36, 8, 5, 0, 1, 64, 7, 6, 4, 0.276, 0.314, 0.341, 0.655, 0.305, 76.0
2022, KIA|키움, 27, 18, 43, 42, 7, 10, 0, 0, 0, 10, 1, 0, 1, 0, 0, 6, 0, 0, 0, 0.238, 0.256, 0.238, 0.494, 0.236, 44.1
, 키움, 27, 11, 39, 38, 5, 10, 0, 0, 0, 10, 1, 0, 1, 0, 0, 4, 0, 0, 0, 0.263, 0.282, 0.263, 0.545, 0.260, 61.1
, KIA, 27, 7, 4, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -121.1
