year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 삼성, 23, 0, 0, 8, 3, 7, 5, 0, 79.2, 57, 48, 367, 82, , 7, 63, 1, 2, 56, 2, 3, 5.42, 4.93, 1.82, 80.9
1993, 삼성, 24, 5, 3, 23, 14, 6, 2, 0, 162.0, 55, 51, 661, 133, , 7, 71, 0, 4, 91, 1, 1, 2.83, 3.29, 1.26, 117.5
1994, 삼성, 25, 8, 1, 23, 10, 9, 1, 0, 176.1, 67, 54, 725, 146, , 13, 68, 1, 6, 121, 1, 9, 2.76, 3.64, 1.21, 139.5
1995, 삼성, 26, 0, 0, 5, 5, 8, 22, 0, 97.0, 37, 32, 416, 81, , 5, 51, 2, 5, 75, 1, 3, 2.97, 3.60, 1.36, 127.4
1996, 삼성, 27, 1, 0, 15, 4, 7, 1, 0, 86.1, 48, 43, 377, 82, , 7, 42, 1, 4, 65, 0, 4, 4.48, 3.90, 1.44, 84.2
1997, 삼성, 28, 0, 0, 2, 8, 7, 23, 0, 96.2, 36, 28, 403, 70, , 7, 55, 4, 6, 84, 0, 4, 2.61, 3.85, 1.29, 158.9
2000, 삼성, 31, 0, 0, 0, 0, 0, 0, 8, 21.2, 12, 11, 94, 20, , 1, 9, 1, 0, 16, 0, 1, 4.57, 3.39, 1.34, 103.7
2001, 삼성, 32, 0, 0, 0, 0, 0, 0, 0, 2.1, 3, 3, 12, 5, , 0, 0, 0, 0, 2, 0, 0, 11.57, 1.40, 2.14, 41.5
2002, SK, 33, 0, 0, 0, 0, 1, 1, 2, 31.0, 21, 18, 135, 34, , 3, 10, 1, 1, 21, 0, 4, 5.23, 3.87, 1.42, 80.5
2003, SK, 34, 0, 0, 0, 0, 1, 0, 0, 12.0, 13, 11, 57, 14, , 4, 6, 0, 1, 7, 0, 1, 8.25, 7.68, 1.67, 50.6
