year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, 한화, 24, 20, 32, 28, 3, 4, 2, 0, 0, 6, 1, 0, 0, 3, 0, 12, 2, 0, 0, 0.143, 0.250, 0.214, 0.464, 0.232, 22.0
2010, 한화, 25, 11, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0.000, 0.105, 0.000, 0.105, 0.077, -75.2
2011, 한화, 26, 37, 59, 49, 5, 7, 3, 0, 2, 16, 6, 0, 0, 3, 0, 19, 2, 1, 1, 0.143, 0.259, 0.327, 0.585, 0.271, 56.9
2014, 한화, 29, 59, 162, 140, 21, 33, 8, 1, 6, 61, 18, 0, 0, 4, 0, 45, 4, 3, 1, 0.236, 0.321, 0.436, 0.757, 0.329, 76.8
2015, 한화, 30, 83, 268, 225, 36, 47, 10, 2, 16, 109, 35, 2, 4, 10, 0, 58, 4, 3, 2, 0.209, 0.321, 0.484, 0.805, 0.345, 93.5
2016, 한화, 31, 28, 58, 45, 12, 9, 0, 0, 1, 12, 8, 0, 0, 2, 0, 17, 1, 0, 2, 0.200, 0.345, 0.267, 0.612, 0.305, 63.5
2017, 한화, 32, 54, 103, 85, 10, 20, 4, 0, 3, 33, 13, 0, 0, 2, 0, 24, 3, 1, 2, 0.235, 0.343, 0.388, 0.731, 0.328, 85.1
2018, 한화, 33, 58, 102, 85, 15, 22, 5, 0, 4, 39, 17, 1, 0, 3, 0, 26, 3, 3, 0, 0.259, 0.364, 0.459, 0.823, 0.351, 98.8
2019, 한화, 34, 58, 117, 104, 7, 24, 4, 0, 3, 37, 18, 2, 1, 0, 0, 24, 1, 1, 1, 0.231, 0.302, 0.356, 0.658, 0.303, 81.9
2020, 한화, 35, 15, 25, 18, 1, 3, 1, 0, 0, 4, 1, 0, 0, 1, 0, 6, 2, 2, 1, 0.167, 0.304, 0.222, 0.527, 0.245, 35.9
