year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 롯데, 22, 121, 393, 338, 48, 82, 15, 5, 6, 125, 47, 6, 2, 5, 0, 44, 11, 10, 4, 0.243, 0.321, 0.370, 0.691, 0.312, 83.7
1993, 롯데, 23, 126, 461, 410, 44, 108, 15, 2, 3, 136, 43, 17, 10, 7, 1, 53, 6, 9, 7, 0.263, 0.316, 0.332, 0.648, 0.302, 92.9
1994, 롯데, 24, 67, 249, 223, 24, 58, 8, 2, 1, 73, 22, 9, 6, 3, 0, 30, 8, 3, 1, 0.260, 0.325, 0.327, 0.653, 0.306, 91.5
1997, 롯데, 27, 51, 114, 101, 9, 22, 4, 0, 0, 26, 8, 2, 3, 3, 0, 24, 0, 1, 1, 0.218, 0.292, 0.257, 0.550, 0.262, 58.6
1998, 롯데|쌍방울, 28, 68, 163, 151, 10, 33, 6, 0, 1, 42, 15, 3, 2, 1, 0, 29, 3, 2, 0, 0.219, 0.267, 0.278, 0.545, 0.251, 49.7
, 쌍방울, 28, 58, 152, 140, 10, 32, 5, 0, 1, 40, 15, 3, 2, 1, 0, 24, 3, 2, 0, 0.229, 0.280, 0.286, 0.566, 0.260, 56.5
, 롯데, 28, 10, 11, 11, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0.091, 0.091, 0.091, 0.182, 0.084, -64.5
1999, 쌍방울|해태, 29, 124, 391, 337, 43, 85, 14, 1, 5, 116, 43, 4, 5, 7, 0, 61, 6, 11, 5, 0.252, 0.324, 0.344, 0.668, 0.298, 69.3
, 해태, 29, 118, 380, 326, 43, 84, 14, 1, 5, 115, 43, 3, 5, 7, 0, 56, 6, 11, 5, 0.258, 0.331, 0.353, 0.683, 0.304, 73.3
, 쌍방울, 29, 6, 11, 11, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0.091, 0.091, 0.091, 0.182, 0.084, -74.6
2000, 해태|SK, 30, 109, 258, 232, 30, 46, 6, 1, 3, 63, 32, 7, 3, 3, 0, 42, 7, 4, 2, 0.198, 0.260, 0.272, 0.531, 0.245, 35.8
, 해태, 30, 37, 101, 94, 10, 19, 3, 0, 1, 25, 8, 1, 1, 0, 0, 16, 5, 1, 0, 0.202, 0.250, 0.266, 0.516, 0.238, 31.8
, SK, 30, 72, 158, 138, 20, 27, 3, 1, 2, 38, 24, 6, 2, 3, 0, 26, 2, 3, 2, 0.196, 0.271, 0.275, 0.546, 0.252, 40.4
2001, SK, 31, 48, 22, 20, 15, 5, 1, 0, 0, 6, 2, 7, 2, 0, 0, 7, 1, 0, 0, 0.250, 0.318, 0.300, 0.618, 0.297, 65.4
2002, SK, 32, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
