year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, 롯데, 19, 5, 3, 3, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0.333, 0.333, 0.333, 0.667, 0.310, 79.3
2001, 롯데, 20, 47, 61, 56, 10, 8, 3, 0, 1, 14, 7, 2, 1, 0, 0, 11, 1, 1, 1, 0.143, 0.183, 0.250, 0.433, 0.194, -3.8
2002, 롯데, 21, 66, 146, 136, 15, 33, 6, 0, 0, 39, 8, 6, 2, 0, 0, 38, 6, 1, 0, 0.243, 0.290, 0.287, 0.576, 0.266, 55.8
2003, 롯데, 22, 95, 321, 281, 34, 69, 10, 2, 4, 95, 32, 7, 4, 2, 0, 42, 9, 16, 2, 0.246, 0.298, 0.338, 0.636, 0.279, 58.3
2004, 롯데, 23, 131, 386, 340, 35, 69, 7, 2, 6, 98, 35, 11, 4, 3, 0, 75, 8, 12, 1, 0.203, 0.273, 0.288, 0.561, 0.259, 44.4
2005, 롯데, 24, 114, 382, 335, 44, 93, 13, 3, 3, 121, 27, 8, 3, 1, 0, 61, 5, 9, 1, 0.278, 0.349, 0.361, 0.710, 0.326, 95.2
2006, 롯데, 25, 117, 371, 310, 26, 78, 14, 0, 0, 92, 25, 8, 8, 3, 0, 53, 7, 25, 0, 0.252, 0.330, 0.297, 0.626, 0.284, 73.3
2007, 롯데, 26, 108, 320, 266, 26, 59, 8, 1, 1, 72, 24, 5, 4, 3, 0, 44, 5, 13, 4, 0.222, 0.313, 0.271, 0.583, 0.274, 59.7
2008, 롯데, 27, 113, 404, 351, 47, 102, 13, 1, 1, 120, 36, 16, 7, 2, 0, 47, 6, 8, 3, 0.291, 0.364, 0.342, 0.706, 0.334, 99.1
2009, 롯데, 28, 109, 346, 299, 32, 65, 10, 1, 0, 77, 21, 7, 6, 1, 0, 61, 13, 14, 4, 0.217, 0.283, 0.258, 0.541, 0.249, 31.5
2010, 롯데, 29, 48, 166, 153, 10, 33, 3, 0, 0, 36, 13, 2, 0, 1, 0, 18, 5, 5, 1, 0.216, 0.248, 0.235, 0.484, 0.225, 22.8
2013, 롯데, 32, 31, 70, 60, 4, 12, 2, 0, 0, 14, 9, 1, 3, 0, 0, 11, 3, 1, 0, 0.200, 0.304, 0.233, 0.538, 0.269, 51.0
2014, 롯데, 33, 22, 63, 51, 8, 8, 2, 0, 0, 10, 2, 0, 1, 0, 0, 11, 1, 2, 0, 0.157, 0.295, 0.196, 0.491, 0.248, 28.2
2015, kt, 34, 126, 350, 300, 27, 84, 13, 1, 1, 102, 30, 3, 0, 3, 0, 84, 10, 16, 1, 0.280, 0.350, 0.340, 0.690, 0.311, 71.7
2016, kt, 35, 117, 348, 308, 36, 84, 13, 0, 2, 103, 34, 0, 2, 1, 0, 53, 8, 10, 2, 0.273, 0.331, 0.334, 0.666, 0.306, 64.1
2017, kt, 36, 97, 263, 235, 22, 56, 11, 1, 2, 75, 18, 2, 1, 2, 0, 51, 9, 7, 3, 0.238, 0.289, 0.319, 0.608, 0.271, 46.9
2018, KT, 37, 98, 196, 173, 17, 37, 6, 0, 1, 46, 15, 1, 0, 2, 0, 50, 8, 5, 3, 0.214, 0.272, 0.266, 0.538, 0.244, 28.9
