year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 빙그레, 23, 10, 17, 16, 1, 3, 1, 0, 0, 4, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0.188, 0.235, 0.250, 0.485, 0.237, 39.5
1990, 빙그레, 24, 10, 9, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.111, 0.000, 0.111, 0.081, -66.1
1991, 빙그레, 25, 4, 7, 6, 2, 2, 1, 0, 1, 6, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0.333, 0.429, 1.000, 1.429, 0.595, 281.2
1992, 빙그레, 26, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
1993, 빙그레|삼성, 27, 51, 95, 86, 9, 26, 4, 0, 0, 30, 7, 1, 3, 2, 0, 6, 3, 1, 1, 0.302, 0.351, 0.349, 0.700, 0.331, 113.7
, 삼성, 27, 45, 87, 79, 0, 23, 3, 0, 0, 26, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0.291, 0.291, 0.329, 0.620, 0.266, 67.3
, 빙그레, 27, 6, 8, 7, 0, 3, 1, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.429, 0.429, 0.571, 1.000, 0.409, 170.1
1994, 삼성, 28, 95, 206, 177, 16, 41, 8, 0, 2, 55, 16, 2, 1, 1, 0, 24, 3, 8, 4, 0.232, 0.293, 0.311, 0.604, 0.273, 68.9
1995, 삼성, 29, 72, 140, 125, 8, 27, 1, 1, 3, 39, 11, 0, 1, 2, 0, 21, 1, 3, 0, 0.216, 0.285, 0.312, 0.597, 0.275, 73.8
1996, 삼성, 30, 43, 79, 76, 5, 19, 5, 0, 1, 27, 7, 0, 1, 0, 0, 16, 1, 0, 0, 0.250, 0.279, 0.355, 0.634, 0.293, 83.8
