year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1999, LG, 25, 19, 37, 37, 2, 7, 1, 1, 0, 10, 3, 0, 0, 0, 0, 15, 0, 0, 0, 0.189, 0.189, 0.270, 0.460, 0.201, 2.1
2000, LG, 26, 67, 146, 128, 19, 36, 5, 0, 7, 62, 14, 0, 1, 2, 1, 32, 2, 1, 0, 0.281, 0.366, 0.484, 0.850, 0.372, 121.9
2001, LG, 27, 70, 114, 94, 14, 31, 6, 1, 3, 48, 29, 1, 1, 1, 0, 23, 2, 0, 0, 0.330, 0.447, 0.511, 0.958, 0.437, 159.7
2002, LG, 28, 60, 94, 81, 15, 16, 1, 0, 5, 32, 18, 3, 0, 3, 1, 35, 1, 1, 2, 0.198, 0.280, 0.395, 0.675, 0.289, 71.7
2003, LG|롯데, 29, 72, 218, 193, 22, 48, 11, 0, 6, 77, 26, 0, 3, 4, 0, 55, 3, 1, 1, 0.249, 0.327, 0.399, 0.726, 0.329, 94.1
, LG, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , 
, 롯데, 29, 72, 218, 193, 22, 48, 11, 0, 6, 77, 26, 0, 3, 4, 0, 55, 3, 1, 1, 0.249, 0.327, 0.399, 0.726, 0.329, 94.1
2004, 롯데, 30, 74, 143, 123, 10, 30, 9, 1, 3, 50, 17, 1, 0, 1, 0, 49, 2, 1, 1, 0.244, 0.338, 0.407, 0.745, 0.341, 100.8
2005, 롯데, 31, 71, 193, 171, 15, 48, 9, 0, 5, 72, 20, 1, 3, 4, 0, 48, 3, 3, 0, 0.281, 0.353, 0.421, 0.774, 0.352, 113.4
2006, 롯데, 32, 42, 64, 56, 8, 14, 0, 0, 2, 20, 9, 0, 0, 0, 1, 16, 3, 0, 0, 0.250, 0.344, 0.357, 0.701, 0.329, 106.8
2007, SK, 33, 8, 11, 10, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 5, 1, 0, 0, 0.100, 0.182, 0.100, 0.282, 0.152, -29.3
2008, SK, 34, 5, 8, 8, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0.125, 0.125, 0.125, 0.250, 0.119, -49.5
