year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 롯데, 22, 122, 528, 463, 69, 132, 29, 6, 14, 215, 74, 3, 5, 5, 0, 36, 17, 8, 9, 0.285, 0.346, 0.464, 0.811, 0.363, 122.8
1992, 롯데, 23, 124, 529, 445, 91, 149, 43, 3, 14, 240, 79, 7, 7, 5, 2, 42, 12, 3, 7, 0.335, 0.424, 0.539, 0.963, 0.429, 160.2
1993, 롯데, 24, 31, 123, 103, 10, 37, 8, 1, 1, 50, 18, 1, 1, 1, 3, 9, 4, 1, 0, 0.359, 0.459, 0.485, 0.945, 0.433, 186.3
1995, 롯데, 26, 50, 201, 178, 21, 60, 16, 1, 2, 84, 34, 2, 0, 1, 0, 21, 2, 0, 1, 0.337, 0.408, 0.472, 0.880, 0.402, 161.3
1996, 롯데, 27, 94, 405, 366, 49, 113, 25, 1, 5, 155, 61, 2, 0, 3, 2, 39, 11, 2, 2, 0.309, 0.367, 0.424, 0.791, 0.363, 131.6
1997, 롯데, 28, 102, 384, 341, 33, 78, 10, 2, 3, 101, 40, 2, 3, 0, 0, 33, 15, 5, 5, 0.229, 0.293, 0.296, 0.589, 0.273, 65.6
1998, 롯데, 29, 113, 473, 406, 56, 129, 24, 2, 13, 196, 79, 1, 3, 4, 3, 47, 5, 3, 8, 0.318, 0.394, 0.483, 0.876, 0.386, 143.9
1999, 롯데, 30, 127, 540, 456, 83, 150, 17, 3, 11, 206, 83, 0, 3, 6, 0, 60, 17, 4, 11, 0.329, 0.409, 0.452, 0.860, 0.383, 125.2
2000, 롯데, 31, 107, 439, 386, 51, 110, 15, 2, 6, 147, 53, 3, 0, 1, 1, 42, 13, 2, 3, 0.285, 0.362, 0.381, 0.742, 0.340, 99.4
2001, 롯데, 32, 118, 415, 356, 35, 88, 25, 1, 7, 136, 59, 1, 2, 2, 2, 41, 18, 4, 7, 0.247, 0.331, 0.382, 0.713, 0.323, 82.5
2002, 롯데, 33, 103, 308, 267, 26, 70, 14, 1, 7, 107, 38, 0, 2, 7, 0, 32, 4, 2, 0, 0.262, 0.356, 0.401, 0.757, 0.342, 109.2
2003, 롯데, 34, 50, 86, 72, 5, 20, 2, 0, 2, 28, 17, 0, 1, 0, 0, 11, 3, 0, 4, 0.278, 0.349, 0.389, 0.738, 0.334, 97.2
2004, 롯데, 35, 26, 27, 18, 2, 5, 0, 0, 0, 5, 3, 0, 0, 0, 0, 3, 2, 0, 0, 0.278, 0.519, 0.278, 0.796, 0.417, 153.5
