year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, SK, 20, 25, 22, 19, 4, 5, 0, 0, 0, 5, 1, 0, 0, 0, 0, 7, 1, 1, 0, 0.263, 0.333, 0.263, 0.597, 0.282, 55.0
2002, SK|롯데, 21, 29, 34, 33, 4, 5, 1, 0, 0, 6, 0, 1, 0, 0, 0, 12, 1, 0, 0, 0.152, 0.177, 0.182, 0.358, 0.166, -14.2
, 롯데, 21, 21, 30, 29, 3, 5, 1, 0, 0, 6, 0, 1, 0, 0, 0, 9, 1, 0, 0, 0.172, 0.200, 0.207, 0.407, 0.188, 1.4
, SK, 21, 8, 4, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -131.3
2003, 롯데, 22, 29, 30, 27, 2, 4, 1, 0, 0, 5, 0, 0, 1, 0, 0, 8, 0, 0, 0, 0.148, 0.233, 0.185, 0.419, 0.208, 8.5
2004, 롯데, 23, 86, 182, 157, 26, 38, 10, 3, 3, 63, 18, 5, 1, 6, 0, 37, 2, 7, 1, 0.242, 0.314, 0.401, 0.716, 0.316, 83.6
2005, 롯데, 24, 68, 94, 82, 9, 16, 2, 1, 0, 20, 5, 4, 2, 0, 0, 25, 0, 8, 0, 0.195, 0.233, 0.244, 0.477, 0.206, 10.8
2006, 롯데, 25, 67, 63, 58, 5, 14, 1, 0, 0, 15, 3, 1, 1, 0, 0, 18, 0, 4, 0, 0.241, 0.254, 0.259, 0.513, 0.228, 32.6
2007, 롯데, 26, 75, 70, 61, 10, 13, 2, 0, 1, 18, 8, 0, 0, 0, 0, 14, 0, 3, 0, 0.213, 0.284, 0.295, 0.579, 0.266, 53.7
2008, 롯데, 27, 26, 20, 16, 2, 2, 0, 0, 0, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0.125, 0.250, 0.125, 0.375, 0.206, 10.1
2009, 롯데, 28, 40, 69, 62, 6, 13, 1, 1, 0, 16, 2, 1, 0, 1, 0, 18, 0, 2, 0, 0.210, 0.269, 0.258, 0.527, 0.244, 28.2
2010, 롯데, 29, 22, 56, 49, 4, 6, 2, 0, 0, 8, 1, 1, 0, 1, 0, 10, 1, 3, 0, 0.122, 0.189, 0.163, 0.352, 0.167, -15.9
2011, 롯데, 30, 21, 23, 20, 2, 2, 1, 0, 0, 3, 2, 0, 0, 0, 0, 4, 0, 1, 0, 0.100, 0.182, 0.150, 0.332, 0.163, -15.9
2012, 롯데, 31, 87, 207, 182, 21, 50, 9, 3, 2, 71, 12, 5, 1, 1, 0, 33, 2, 12, 1, 0.275, 0.318, 0.390, 0.708, 0.312, 91.8
2013, 롯데, 32, 79, 139, 124, 15, 37, 6, 1, 2, 51, 32, 2, 0, 2, 1, 23, 5, 0, 0, 0.298, 0.374, 0.411, 0.785, 0.369, 118.0
2014, 롯데, 33, 74, 118, 99, 9, 23, 9, 1, 0, 34, 13, 0, 0, 1, 1, 24, 1, 1, 3, 0.232, 0.325, 0.343, 0.668, 0.304, 64.3
2015, 롯데, 34, 3, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -132.4
