year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1987, OB, 19, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -138.9
1988, OB, 20, 7, 12, 12, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.083, 0.083, 0.083, 0.167, 0.079, -73.3
1989, OB, 21, 28, 36, 34, 2, 4, 2, 0, 0, 6, 0, 0, 1, 0, 0, 9, 2, 1, 0, 0.118, 0.143, 0.176, 0.319, 0.150, -24.0
1991, OB, 23, 54, 117, 104, 6, 28, 6, 1, 0, 36, 12, 0, 0, 1, 0, 17, 4, 3, 2, 0.269, 0.316, 0.346, 0.662, 0.303, 81.6
1992, OB, 24, 77, 174, 155, 13, 44, 5, 0, 6, 67, 24, 3, 0, 1, 0, 27, 6, 6, 3, 0.284, 0.321, 0.432, 0.754, 0.328, 94.0
1993, OB, 25, 88, 232, 209, 27, 54, 7, 5, 6, 89, 29, 0, 1, 7, 0, 43, 5, 9, 0, 0.258, 0.305, 0.426, 0.731, 0.329, 112.9
1994, OB, 26, 35, 83, 76, 8, 22, 2, 0, 3, 33, 10, 0, 0, 1, 0, 13, 0, 2, 0, 0.289, 0.333, 0.434, 0.768, 0.346, 119.7
1995, OB, 27, 54, 101, 92, 8, 13, 2, 1, 0, 17, 12, 2, 1, 5, 0, 23, 5, 2, 0, 0.141, 0.202, 0.185, 0.387, 0.186, 7.3
1996, OB, 28, 58, 140, 128, 14, 31, 4, 0, 4, 47, 15, 1, 1, 0, 0, 24, 3, 5, 1, 0.242, 0.274, 0.367, 0.641, 0.285, 76.3
1997, 삼성, 29, 74, 141, 127, 15, 25, 8, 0, 2, 39, 9, 0, 0, 5, 0, 30, 2, 4, 0, 0.197, 0.256, 0.307, 0.563, 0.254, 53.5
1998, 쌍방울, 30, 46, 135, 122, 7, 26, 2, 0, 1, 31, 10, 2, 0, 1, 1, 22, 7, 3, 1, 0.213, 0.265, 0.254, 0.519, 0.235, 38.8
