year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1997, 한화, 23, 110, 402, 338, 42, 82, 12, 1, 16, 144, 55, 2, 3, 6, 0, 66, 5, 12, 5, 0.243, 0.331, 0.426, 0.757, 0.332, 105.7
1998, 한화, 24, 124, 452, 393, 41, 101, 23, 1, 13, 165, 45, 3, 7, 8, 1, 65, 7, 10, 2, 0.257, 0.335, 0.420, 0.755, 0.332, 106.5
1999, 한화, 25, 132, 475, 428, 43, 106, 24, 2, 7, 155, 46, 4, 1, 4, 1, 52, 11, 7, 4, 0.248, 0.303, 0.362, 0.666, 0.294, 67.1
2000, 한화, 26, 103, 345, 301, 34, 65, 22, 1, 3, 98, 23, 0, 0, 6, 0, 63, 7, 4, 4, 0.216, 0.296, 0.326, 0.622, 0.284, 62.8
2001, 한화, 27, 88, 255, 217, 18, 60, 7, 0, 6, 85, 25, 2, 0, 1, 0, 43, 7, 1, 1, 0.277, 0.378, 0.392, 0.770, 0.360, 106.6
2002, 한화, 28, 78, 210, 193, 25, 39, 10, 0, 10, 79, 35, 0, 1, 1, 0, 42, 2, 1, 1, 0.202, 0.258, 0.409, 0.668, 0.289, 73.3
2003, 한화, 29, 96, 206, 171, 18, 39, 12, 0, 2, 57, 21, 3, 1, 2, 0, 30, 6, 5, 1, 0.228, 0.338, 0.333, 0.672, 0.309, 80.3
2004, 한화, 30, 69, 48, 45, 2, 7, 3, 1, 0, 12, 6, 0, 0, 0, 0, 11, 3, 3, 0, 0.156, 0.156, 0.267, 0.422, 0.175, -9.5
2005, 한화, 31, 85, 260, 235, 29, 65, 8, 0, 4, 85, 20, 5, 0, 4, 0, 48, 11, 5, 1, 0.277, 0.329, 0.362, 0.691, 0.317, 89.5
2006, 한화, 32, 42, 100, 86, 8, 30, 5, 0, 1, 38, 12, 0, 0, 3, 0, 20, 1, 1, 0, 0.349, 0.434, 0.442, 0.876, 0.410, 162.3
2007, 한화, 33, 80, 199, 164, 18, 37, 4, 0, 6, 59, 18, 0, 0, 1, 1, 41, 5, 3, 2, 0.226, 0.342, 0.360, 0.702, 0.327, 97.7
