year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, 삼성, 20, 0, 0, 0, 0, 0, 0, 1, 4.2, 4, 4, 25, 7, , 0, 2, 0, 1, 5, 1, 0, 7.71, 2.62, 1.93, 50.8
2008, 삼성, 21, 0, 0, 0, 0, 0, 0, 0, 3.0, 1, 1, 13, 3, , 0, 1, 0, 0, 4, 0, 1, 3.00, 1.48, 1.33, 138.4
2009, 삼성, 22, 0, 0, 0, 1, 0, 0, 0, 18.1, 15, 15, 93, 24, , 3, 16, 0, 4, 17, 0, 2, 7.36, 6.73, 2.18, 66.3
2010, 삼성, 23, 0, 0, 0, 1, 2, 0, 3, 37.1, 20, 19, 169, 38, , 3, 24, 1, 1, 24, 0, 6, 4.58, 4.97, 1.66, 100.7
2012, 삼성, 25, 0, 0, 0, 0, 0, 0, 1, 3.2, 2, 2, 17, 2, , 0, 4, 0, 0, 5, 0, 0, 4.91, 3.65, 1.64, 77.8
2013, 삼성, 26, 0, 0, 0, 1, 1, 0, 4, 24.1, 19, 18, 116, 33, , 4, 13, 0, 0, 23, 0, 0, 6.66, 5.20, 1.89, 64.3
2014, 삼성, 27, 0, 0, 5, 0, 3, 1, 1, 46.1, 28, 27, 204, 51, 1, 5, 17, 0, 3, 53, 0, 1, 5.24, 4.27, 1.47, 100.8
2015, 삼성, 28, 0, 0, 1, 0, 0, 0, 2, 28.0, 19, 19, 135, 32, 1, 3, 20, 1, 1, 37, 0, 3, 6.11, 4.51, 1.86, 80.8
2016, 삼성, 29, 0, 0, 4, 6, 3, 0, 9, 68.2, 44, 44, 306, 73, 2, 9, 30, 0, 2, 77, 0, 4, 5.77, 4.65, 1.50, 91.4
2017, 삼성, 30, 0, 0, 14, 8, 4, 0, 3, 100.2, 52, 49, 446, 110, 2, 11, 36, 1, 6, 94, 0, 4, 4.38, 4.51, 1.45, 115.8
2018, 삼성, 31, 0, 0, 23, 7, 7, 1, 0, 125.2, 68, 64, 540, 142, 2, 18, 36, 0, 3, 99, 0, 2, 4.58, 5.05, 1.42, 115.7
2019, 삼성, 32, 1, 1, 27, 8, 10, 0, 0, 157.0, 85, 74, 677, 158, 4, 17, 56, 0, 6, 82, 0, 4, 4.24, 4.95, 1.36, 102.1
2020, 삼성, 33, 0, 0, 11, 4, 4, 0, 0, 59.0, 43, 34, 258, 67, 2, 13, 17, 0, 1, 46, 0, 1, 5.19, 5.78, 1.42, 94.6
2021, 삼성, 34, 0, 0, 27, 14, 5, 0, 0, 157.2, 54, 46, 648, 142, 1, 15, 54, 2, 2, 109, 0, 5, 2.63, 4.21, 1.24, 171.9
2022, 삼성, 35, 0, 0, 6, 0, 3, 0, 0, 35.0, 25, 24, 158, 40, 1, 7, 12, 0, 3, 17, 0, 4, 6.17, 6.13, 1.49, 60.5
