year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2003, KIA, 19, 42, 48, 43, 5, 6, 0, 0, 0, 6, 2, 0, 1, 1, 0, 23, 0, 1, 1, 0.140, 0.192, 0.140, 0.331, 0.162, -22.6
2004, KIA, 20, 58, 114, 94, 12, 20, 4, 0, 3, 33, 11, 1, 2, 1, 0, 35, 2, 4, 0, 0.213, 0.327, 0.351, 0.678, 0.310, 80.0
2005, KIA, 21, 12, 7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0.000, 0.143, 0.000, 0.143, 0.103, -56.8
2008, LG, 24, 27, 82, 70, 9, 17, 1, 1, 3, 29, 9, 0, 0, 4, 0, 23, 1, 0, 0, 0.243, 0.354, 0.414, 0.768, 0.361, 118.3
2009, LG, 25, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -138.1
2010, LG, 26, 11, 47, 45, 5, 11, 1, 0, 2, 18, 4, 0, 0, 0, 0, 15, 1, 0, 0, 0.244, 0.277, 0.400, 0.677, 0.304, 74.7
2011, LG, 27, 112, 359, 303, 42, 81, 11, 1, 7, 115, 37, 7, 1, 8, 3, 90, 4, 12, 3, 0.267, 0.352, 0.380, 0.731, 0.332, 97.5
2012, LG, 28, 103, 324, 273, 32, 59, 9, 3, 0, 74, 17, 3, 2, 7, 1, 78, 7, 10, 2, 0.216, 0.312, 0.271, 0.583, 0.278, 67.4
2013, LG|넥센, 29, 104, 265, 218, 27, 57, 12, 1, 6, 89, 21, 4, 2, 3, 0, 52, 4, 12, 2, 0.261, 0.356, 0.408, 0.764, 0.342, 100.2
, 넥센, 29, 93, 255, 210, 24, 57, 12, 1, 6, 89, 21, 4, 2, 2, 0, 49, 4, 12, 2, 0.271, 0.362, 0.424, 0.786, 0.350, 105.3
, LG, 29, 11, 10, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0.000, 0.200, 0.000, 0.200, 0.150, -32.8
2014, 넥센, 30, 39, 41, 34, 2, 5, 1, 0, 0, 6, 0, 1, 0, 1, 0, 12, 1, 3, 0, 0.147, 0.237, 0.176, 0.413, 0.196, -6.2
2015, 넥센, 31, 55, 118, 103, 14, 24, 5, 0, 3, 38, 15, 0, 0, 3, 0, 45, 1, 1, 0, 0.233, 0.325, 0.369, 0.694, 0.317, 77.3
2016, KIA, 32, 124, 485, 411, 73, 120, 30, 3, 16, 204, 67, 9, 4, 5, 1, 108, 8, 6, 3, 0.292, 0.386, 0.496, 0.883, 0.389, 118.1
2017, KIA, 33, 125, 366, 319, 49, 90, 21, 1, 7, 134, 48, 1, 1, 3, 0, 86, 5, 8, 3, 0.282, 0.352, 0.420, 0.772, 0.339, 93.9
2018, KIA, 34, 32, 56, 49, 3, 10, 3, 0, 0, 13, 2, 0, 0, 1, 0, 15, 1, 0, 1, 0.204, 0.286, 0.265, 0.551, 0.260, 42.0
