year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 빙그레, 23, 5, 2, 12, 9, 10, 9, 0, 156.2, 57, 49, 659, 116, , 7, 88, 9, 5, 97, 1, 2, 2.81, 3.55, 1.30, 136.4
1990, 빙그레, 24, 0, 0, 1, 11, 7, 27, 0, 128.1, 29, 26, 503, 80, , 2, 54, 6, 0, 102, 0, 6, 1.82, 2.30, 1.04, 215.4
1991, 빙그레, 25, 11, 1, 17, 11, 10, 11, 0, 184.1, 67, 57, 747, 142, , 13, 65, 3, 7, 126, 1, 4, 2.78, 3.36, 1.12, 142.6
1992, 빙그레, 26, 4, 1, 17, 19, 8, 17, 0, 191.1, 79, 69, 815, 157, , 17, 97, 4, 4, 130, 0, 15, 3.25, 4.10, 1.33, 133.4
1993, 빙그레, 27, 0, 0, 4, 7, 7, 8, 0, 72.2, 40, 30, 313, 64, , 8, 32, 1, 3, 53, 0, 5, 3.72, 3.84, 1.32, 89.4
1994, 한화, 28, 3, 0, 17, 9, 10, 10, 0, 133.0, 76, 58, 580, 119, , 10, 59, 4, 5, 90, 0, 7, 3.92, 3.79, 1.34, 96.6
1995, 한화, 29, 7, 1, 26, 13, 8, 0, 0, 183.0, 78, 65, 781, 165, , 11, 75, 0, 4, 121, 0, 5, 3.20, 3.56, 1.31, 115.7
1996, 한화, 30, 5, 0, 30, 15, 9, 0, 0, 213.0, 80, 77, 885, 185, , 18, 84, 7, 10, 160, 0, 12, 3.25, 3.61, 1.26, 112.1
1997, 한화, 31, 5, 1, 20, 6, 12, 0, 0, 146.2, 85, 75, 636, 156, , 17, 49, 2, 12, 73, 1, 5, 4.60, 4.59, 1.40, 87.9
1998, 한화, 32, 1, 0, 19, 6, 10, 0, 0, 114.2, 66, 61, 498, 125, , 19, 43, 1, 3, 72, 0, 3, 4.79, 4.97, 1.47, 85.5
1999, 한화, 33, 8, 2, 26, 15, 5, 6, 0, 186.2, 99, 83, 792, 180, , 24, 61, 2, 3, 132, 1, 7, 4.00, 4.53, 1.29, 127.4
2000, 한화, 34, 2, 1, 19, 13, 2, 4, 1, 135.0, 60, 51, 574, 121, , 19, 56, 1, 5, 105, 0, 4, 3.40, 4.77, 1.31, 139.8
2001, 한화, 35, 1, 0, 24, 10, 8, 2, 0, 185.1, 99, 79, 814, 181, , 20, 86, 6, 9, 139, 0, 5, 3.84, 4.45, 1.44, 127.3
2002, 한화, 36, 8, 1, 30, 18, 7, 0, 0, 220.0, 82, 73, 905, 199, , 16, 54, 2, 11, 165, 1, 2, 2.99, 3.31, 1.15, 145.6
2003, 한화, 37, 1, 0, 14, 9, 7, 7, 2, 129.2, 48, 45, 534, 111, , 9, 40, 1, 6, 93, 1, 5, 3.12, 3.27, 1.17, 139.0
2004, 한화, 38, 1, 0, 26, 11, 8, 1, 0, 172.0, 73, 69, 729, 162, , 19, 44, 1, 7, 100, 0, 5, 3.61, 4.09, 1.20, 122.1
2005, 한화, 39, 1, 1, 22, 11, 7, 0, 0, 127.2, 61, 54, 551, 126, , 13, 42, 1, 7, 88, 0, 2, 3.81, 4.09, 1.32, 115.0
2006, 한화, 40, 0, 0, 26, 8, 8, 0, 0, 147.1, 64, 59, 624, 147, , 10, 47, 1, 9, 94, 0, 6, 3.60, 3.43, 1.32, 104.0
2007, 한화, 41, 0, 0, 1, 2, 2, 1, 10, 35.2, 19, 18, 150, 34, , 5, 10, 1, 1, 29, 0, 2, 4.54, 3.87, 1.23, 88.5
2008, 한화, 42, 1, 0, 25, 6, 8, 0, 2, 132.2, 72, 66, 582, 141, , 13, 62, 1, 6, 73, 0, 0, 4.48, 4.84, 1.53, 94.7
2009, 한화, 43, 0, 0, 1, 1, 0, 0, 2, 7.1, 7, 6, 36, 7, , 2, 7, 1, 0, 6, 0, 0, 7.36, 7.55, 1.91, 66.5
