year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1998, 한화, 23, 8, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.000, 0.125, 0.000, 0.125, 0.088, -60.1
1999, 한화, 24, 11, 9, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0.000, 0.111, 0.000, 0.111, 0.081, -71.0
2000, 한화, 25, 37, 77, 71, 4, 11, 2, 0, 2, 19, 5, 0, 1, 0, 0, 22, 3, 1, 0, 0.155, 0.211, 0.268, 0.478, 0.215, 18.1
2001, 한화, 26, 23, 45, 40, 5, 13, 5, 0, 0, 18, 6, 0, 0, 0, 0, 12, 0, 0, 0, 0.325, 0.400, 0.450, 0.850, 0.393, 127.9
2004, 한화, 29, 97, 300, 274, 27, 75, 11, 2, 5, 105, 27, 3, 4, 1, 0, 58, 3, 2, 1, 0.274, 0.329, 0.383, 0.712, 0.328, 92.6
2005, 한화, 30, 110, 358, 321, 38, 89, 15, 1, 4, 118, 23, 2, 3, 2, 0, 47, 8, 3, 3, 0.277, 0.338, 0.368, 0.706, 0.327, 95.8
2006, 한화, 31, 100, 307, 272, 26, 66, 11, 0, 2, 83, 15, 4, 1, 1, 1, 40, 10, 8, 1, 0.243, 0.308, 0.305, 0.613, 0.285, 76.1
2007, 한화, 32, 107, 287, 260, 33, 65, 9, 0, 2, 80, 15, 4, 0, 2, 0, 39, 7, 8, 1, 0.250, 0.298, 0.308, 0.605, 0.281, 66.2
2008, 한화, 33, 107, 331, 296, 27, 79, 16, 3, 3, 110, 41, 4, 3, 2, 0, 54, 8, 5, 2, 0.267, 0.328, 0.372, 0.700, 0.325, 93.4
2009, 한화, 34, 78, 207, 176, 19, 45, 4, 0, 2, 55, 15, 0, 3, 3, 0, 33, 7, 2, 1, 0.256, 0.356, 0.313, 0.669, 0.319, 79.4
2010, 한화, 35, 119, 292, 253, 29, 63, 13, 0, 10, 106, 40, 6, 5, 0, 1, 54, 10, 9, 3, 0.249, 0.318, 0.419, 0.737, 0.322, 86.6
2011, 한화, 36, 103, 267, 233, 18, 62, 9, 0, 1, 74, 27, 5, 4, 2, 0, 50, 7, 7, 2, 0.266, 0.335, 0.318, 0.652, 0.307, 81.0
2012, 한화, 37, 76, 171, 149, 10, 27, 0, 0, 0, 27, 9, 1, 0, 2, 0, 25, 4, 5, 2, 0.181, 0.253, 0.181, 0.434, 0.214, 24.5
