year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, 쌍방울, 22, 112, 329, 304, 29, 71, 11, 2, 7, 107, 31, 5, 3, 1, 0, 37, 3, 5, 2, 0.234, 0.275, 0.352, 0.627, 0.283, 79.4
1996, 쌍방울, 23, 116, 391, 335, 51, 92, 26, 4, 5, 141, 51, 8, 2, 2, 3, 55, 6, 2, 12, 0.275, 0.345, 0.421, 0.765, 0.344, 118.8
1997, 쌍방울, 24, 118, 435, 390, 52, 105, 23, 3, 15, 179, 73, 5, 6, 6, 4, 65, 12, 2, 6, 0.269, 0.326, 0.459, 0.785, 0.345, 114.7
1998, 쌍방울, 25, 126, 521, 469, 61, 126, 24, 5, 24, 232, 86, 9, 5, 4, 3, 110, 12, 2, 8, 0.269, 0.324, 0.495, 0.818, 0.353, 122.1
1999, 쌍방울, 26, 59, 174, 157, 19, 41, 7, 0, 6, 66, 22, 1, 3, 2, 0, 31, 1, 0, 1, 0.261, 0.328, 0.420, 0.748, 0.331, 91.0
2000, SK, 27, 20, 49, 46, 5, 7, 2, 1, 0, 11, 2, 0, 1, 1, 0, 14, 3, 0, 0, 0.152, 0.204, 0.239, 0.443, 0.205, 9.3
2001, LG, 28, 97, 247, 219, 21, 61, 11, 0, 2, 78, 34, 3, 2, 0, 1, 39, 1, 6, 3, 0.279, 0.332, 0.356, 0.688, 0.312, 74.4
2002, LG, 29, 72, 166, 149, 13, 32, 4, 1, 3, 47, 13, 2, 0, 1, 0, 34, 1, 3, 0, 0.215, 0.282, 0.315, 0.598, 0.269, 57.3
2003, LG|삼성, 30, 38, 66, 57, 7, 12, 3, 0, 1, 18, 9, 0, 1, 1, 1, 15, 0, 2, 0, 0.211, 0.297, 0.316, 0.613, 0.272, 54.9
, 삼성, 30, 36, 63, 55, 7, 12, 3, 0, 1, 18, 8, 0, 1, 0, 1, 15, 0, 2, 0, 0.218, 0.295, 0.327, 0.622, 0.273, 55.7
, LG, 30, 2, 3, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0.000, 0.333, 0.000, 0.333, 0.249, 36.3
