year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, OB, 22, 19, 33, 29, 1, 3, 0, 0, 0, 3, 1, 0, 0, 0, 0, 8, 1, 0, 1, 0.103, 0.182, 0.103, 0.285, 0.152, -29.1
1993, OB, 23, 75, 170, 147, 15, 30, 9, 0, 2, 45, 10, 1, 1, 5, 0, 22, 2, 6, 0, 0.204, 0.287, 0.306, 0.593, 0.277, 73.4
1994, OB, 24, 77, 180, 151, 20, 36, 5, 0, 6, 59, 20, 0, 3, 5, 0, 24, 1, 5, 0, 0.238, 0.343, 0.391, 0.734, 0.335, 111.8
1995, OB, 25, 103, 299, 268, 34, 75, 10, 3, 5, 106, 38, 0, 1, 2, 0, 34, 6, 8, 2, 0.280, 0.330, 0.396, 0.725, 0.324, 108.4
1996, OB, 26, 125, 475, 426, 43, 107, 19, 2, 8, 154, 42, 0, 1, 3, 2, 65, 11, 4, 3, 0.251, 0.316, 0.362, 0.678, 0.312, 96.5
1997, OB, 27, 69, 258, 225, 31, 64, 9, 1, 9, 102, 34, 2, 2, 6, 2, 37, 11, 5, 1, 0.284, 0.360, 0.453, 0.813, 0.359, 125.3
1998, OB, 28, 116, 408, 362, 32, 90, 23, 0, 6, 131, 38, 4, 1, 5, 1, 45, 6, 8, 4, 0.249, 0.310, 0.362, 0.672, 0.299, 83.1
1999, 두산, 29, 114, 337, 291, 33, 72, 7, 0, 7, 100, 32, 5, 1, 5, 1, 34, 13, 11, 2, 0.247, 0.322, 0.344, 0.666, 0.295, 65.6
2000, 두산, 30, 114, 377, 328, 48, 91, 16, 1, 9, 136, 39, 1, 0, 6, 1, 29, 8, 5, 3, 0.277, 0.355, 0.415, 0.770, 0.343, 101.7
2001, 두산, 31, 131, 539, 457, 68, 129, 31, 1, 17, 213, 87, 4, 1, 13, 1, 51, 17, 7, 8, 0.282, 0.368, 0.466, 0.835, 0.371, 114.6
2002, 두산, 32, 130, 548, 486, 50, 140, 24, 4, 8, 196, 58, 5, 4, 5, 0, 65, 13, 7, 6, 0.288, 0.349, 0.403, 0.753, 0.334, 104.2
2003, 두산, 33, 128, 539, 475, 65, 158, 28, 3, 10, 222, 72, 1, 1, 5, 2, 43, 21, 6, 5, 0.333, 0.396, 0.467, 0.863, 0.385, 134.2
2004, 두산, 34, 125, 525, 447, 57, 125, 20, 1, 10, 177, 51, 8, 3, 13, 2, 44, 15, 9, 2, 0.280, 0.372, 0.396, 0.768, 0.353, 109.6
2005, 두산, 35, 105, 415, 355, 54, 104, 19, 0, 4, 135, 62, 1, 2, 9, 1, 39, 10, 4, 3, 0.293, 0.382, 0.380, 0.762, 0.356, 115.9
2006, 두산, 36, 125, 499, 423, 45, 120, 21, 0, 15, 186, 70, 3, 1, 16, 2, 45, 19, 5, 5, 0.284, 0.377, 0.440, 0.816, 0.376, 140.4
2007, 두산, 37, 109, 400, 351, 26, 96, 17, 4, 2, 127, 49, 1, 0, 6, 2, 27, 13, 4, 6, 0.274, 0.341, 0.362, 0.703, 0.326, 97.3
2008, 두산, 38, 51, 134, 113, 9, 29, 5, 0, 1, 37, 12, 1, 1, 4, 1, 16, 3, 1, 2, 0.257, 0.353, 0.327, 0.681, 0.325, 93.2
2009, SK, 39, 42, 67, 58, 6, 12, 2, 0, 1, 17, 5, 0, 0, 1, 0, 9, 2, 7, 0, 0.207, 0.233, 0.293, 0.526, 0.215, 7.4
2010, SK, 40, 8, 15, 13, 2, 2, 0, 0, 1, 5, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0.154, 0.214, 0.385, 0.599, 0.210, 11.3
