year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, 해태, 22, 8, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -115.1
1996, 해태, 23, 5, 8, 8, 1, 3, 0, 0, 0, 3, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0.375, 0.375, 0.375, 0.750, 0.353, 124.9
1997, 해태, 24, 6, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -120.4
1998, 해태|LG, 25, 34, 27, 24, 3, 3, 0, 0, 0, 3, 1, 0, 0, 1, 0, 8, 0, 1, 0, 0.125, 0.192, 0.125, 0.317, 0.156, -18.9
, 해태, 25, 5, 7, 7, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0.143, 0.143, 0.143, 0.286, 0.132, -31.5
, LG, 25, 29, 20, 17, 3, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 5, 0, 1, 0, 0.118, 0.211, 0.118, 0.328, 0.164, -14.2
1999, LG, 26, 104, 350, 327, 41, 93, 9, 5, 4, 124, 39, 4, 0, 0, 0, 65, 7, 4, 2, 0.284, 0.318, 0.379, 0.697, 0.309, 75.8
2000, LG, 27, 84, 250, 212, 30, 47, 11, 1, 4, 72, 26, 3, 0, 3, 0, 47, 6, 6, 3, 0.222, 0.312, 0.340, 0.651, 0.293, 66.9
2001, LG, 28, 65, 194, 171, 17, 39, 5, 0, 2, 50, 10, 1, 3, 2, 0, 32, 4, 6, 2, 0.228, 0.287, 0.292, 0.580, 0.267, 43.5
2002, LG, 29, 41, 59, 49, 7, 12, 1, 0, 0, 13, 3, 0, 1, 3, 0, 13, 2, 1, 0, 0.245, 0.362, 0.265, 0.627, 0.302, 81.0
2003, LG, 30, 73, 245, 214, 19, 53, 7, 1, 3, 71, 21, 5, 1, 1, 0, 33, 6, 11, 1, 0.248, 0.308, 0.332, 0.640, 0.284, 61.1
2004, LG, 31, 14, 23, 22, 2, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0.182, 0.217, 0.182, 0.399, 0.196, -0.3
2005, LG, 32, 26, 78, 68, 8, 14, 4, 0, 0, 18, 4, 2, 0, 1, 0, 11, 5, 4, 0, 0.206, 0.270, 0.265, 0.535, 0.244, 37.9
2006, LG, 33, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 
2007, 두산, 34, 46, 95, 82, 5, 15, 3, 0, 0, 18, 6, 0, 0, 1, 0, 18, 4, 4, 1, 0.183, 0.253, 0.220, 0.472, 0.223, 23.6
